symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed,discrepancy_blocker,purgatory,purgatory_no_locate,purgatory_borrow_band,purgatory_net_edge,purgatory_vol_ratio
MSTX,-520.1711056172621,-998.8,-478.6288943827378,478.6288943827378,520.1711056172621,998.8,478.6288943827378,False,none,False,False,False,False,False
MSTU,-583.1255322672728,-1051.3799999999999,-468.2544677327271,468.2544677327271,583.1255322672728,1051.3799999999999,468.2544677327271,False,none,False,False,False,False,False
PTIR,-950.7671091463782,-1411.72,-460.95289085362185,460.95289085362185,950.7671091463782,1411.72,460.95289085362185,False,none,False,False,False,False,False
ALBG,-270.95899034247805,-730.4364,-459.477409657522,459.477409657522,270.95899034247805,730.4364,459.477409657522,False,none,False,False,False,False,False
LABX,-3803.406098136321,-4258.7,-455.2939018636789,455.2939018636789,3803.406098136321,4258.7,455.2939018636789,False,none,False,False,False,False,False
NVOX,-280.87111874995446,-734.36,-453.48888125004555,453.48888125004555,280.87111874995446,734.36,453.48888125004555,False,none,False,False,False,False,False
CRWL,-6.302991992771047,-454.6866,-448.38360800722893,448.38360800722893,6.302991992771047,454.6866,448.38360800722893,False,none,False,False,False,False,False
MEXX,-208.07456717456736,-649.98,-441.9054328254326,441.9054328254326,208.07456717456736,649.98,441.9054328254326,False,none,False,False,False,False,False
BMNU,-3850.991309659266,-4290.664,-439.6726903407339,439.6726903407339,3850.991309659266,4290.664,439.6726903407339,False,no_locate,True,True,False,False,False
CNCG,-272.16698033318846,-711.1909,-439.0239196668116,439.0239196668116,272.16698033318846,711.1909,439.0239196668116,False,no_locate,True,True,False,False,False
BOEG,-85.23997304669176,-523.9026,-438.66262695330823,438.66262695330823,85.23997304669176,523.9026,438.66262695330823,False,none,False,False,False,False,False
TXXH,-4256.253558240923,-4690.3186,-434.06504175907685,434.06504175907685,4256.253558240923,4690.3186,434.06504175907685,False,none,False,False,False,False,False
DUOG,-1185.2818609512274,-1614.7484000000002,-429.4665390487728,429.4665390487728,1185.2818609512274,1614.7484000000002,429.4665390487728,False,none,False,False,False,False,False
INTW,-2365.704846211976,-2788.8,-423.09515378802416,423.09515378802416,2365.704846211976,2788.8,423.09515378802416,False,none,False,False,False,False,False
XRPT,-1505.0897566241576,-1914.8375999999998,-409.7478433758422,409.7478433758422,1505.0897566241576,1914.8375999999998,409.7478433758422,False,none,False,False,False,False,False
YINN,-122.43387528403292,-519.2,-396.7661247159671,396.7661247159671,122.43387528403292,519.2,396.7661247159671,False,none,False,False,False,False,False
AVGX,-393.95723224189743,0.0,393.95723224189743,393.95723224189743,393.95723224189743,0.0,-393.95723224189743,True,none,False,False,False,False,False
PLTU,-750.7518407458562,-1142.75,-391.99815925414384,391.99815925414384,750.7518407458562,1142.75,391.99815925414384,False,none,False,False,False,False,False
LLYX,-118.882656539993,-509.6,-390.71734346000704,390.71734346000704,118.882656539993,509.6,390.71734346000704,False,none,False,False,False,False,False
HONG,-389.32207369157567,0.0,389.32207369157567,389.32207369157567,389.32207369157567,0.0,-389.32207369157567,True,none,False,False,False,False,False
MUU,-1839.392771769804,-2227.95,-388.55722823019573,388.55722823019573,1839.392771769804,2227.95,388.55722823019573,False,none,False,False,False,False,False
QUBX,-6328.182356579591,-5944.16,384.02235657959136,384.02235657959136,6328.182356579591,5944.16,-384.02235657959136,True,none,False,False,False,False,False
GUSH,-83.43573085642555,-459.03000000000003,-375.5942691435745,375.5942691435745,83.43573085642555,459.03000000000003,375.5942691435745,False,none,False,False,False,False,False
RIOX,-1196.5606545326643,-821.07,375.4906545326643,375.4906545326643,1196.5606545326643,821.07,-375.4906545326643,True,none,False,False,False,False,False
AMZZ,-90.93287656601228,-463.53999999999996,-372.6071234339877,372.6071234339877,90.93287656601228,463.53999999999996,372.6071234339877,False,none,False,False,False,False,False
CWEB,-171.05020951190124,-538.5,-367.44979048809876,367.44979048809876,171.05020951190124,538.5,367.44979048809876,False,none,False,False,False,False,False
NETG,-766.5057873441647,-1133.2555,-366.7497126558353,366.7497126558353,766.5057873441647,1133.2555,366.7497126558353,False,none,False,False,False,False,False
ADBG,-100.18147896536163,-466.48,-366.2985210346384,366.2985210346384,100.18147896536163,466.48,366.2985210346384,False,none,False,False,False,False,False
NFLU,-33.15729024177795,-397.66999999999996,-364.512709758222,364.512709758222,33.15729024177795,397.66999999999996,364.512709758222,False,none,False,False,False,False,False
PANG,-105.80202276310892,-469.294,-363.49197723689105,363.49197723689105,105.80202276310892,469.294,363.49197723689105,False,none,False,False,False,False,False
SBU,0.0,-361.1718,-361.1718,361.1718,0.0,361.1718,361.1718,False,no_locate,True,True,False,True,False
UUUG,-2276.034210529605,-2635.854,-359.8197894703949,359.8197894703949,2276.034210529605,2635.854,359.8197894703949,False,none,False,False,False,False,False
DNNG,-439.0022056520355,-793.1768,-354.17459434796444,354.17459434796444,439.0022056520355,793.1768,354.17459434796444,False,none,False,False,False,False,False
LRCU,-189.74259076635656,-543.68,-353.9374092336434,353.9374092336434,189.74259076635656,543.68,353.9374092336434,False,borrow_band,True,False,True,False,False
PYPG,-42.174195849628695,-391.04,-348.86580415037133,348.86580415037133,42.174195849628695,391.04,348.86580415037133,False,none,False,False,False,False,False
CRMG,-323.34350323919506,-671.35,-348.00649676080496,348.00649676080496,323.34350323919506,671.35,348.00649676080496,False,none,False,False,False,False,False
TARK,-355.5922006327317,-693.5085,-337.9162993672683,337.9162993672683,355.5922006327317,693.5085,337.9162993672683,False,none,False,False,False,False,False
BULG,-560.4983571339557,-897.7521,-337.2537428660444,337.2537428660444,560.4983571339557,897.7521,337.2537428660444,False,none,False,False,False,False,False
TSMU,-155.75469392568536,-491.974,-336.21930607431466,336.21930607431466,155.75469392568536,491.974,336.21930607431466,False,none,False,False,False,False,False
PLTG,-642.4357334897402,-978.6,-336.16426651025984,336.16426651025984,642.4357334897402,978.6,336.16426651025984,False,none,False,False,False,False,False
LINT,-1070.329439380235,-737.3000000000001,333.029439380235,333.029439380235,1070.329439380235,737.3000000000001,-333.029439380235,True,none,False,False,False,False,False
ANEL,-913.439769373414,-1246.44,-333.000230626586,333.000230626586,913.439769373414,1246.44,333.000230626586,False,none,False,False,False,False,False
AMUU,-1184.184850322044,-1514.8799999999999,-330.6951496779559,330.6951496779559,1184.184850322044,1514.8799999999999,330.6951496779559,False,none,False,False,False,False,False
XYZG,-514.8442580735002,-845.3889999999999,-330.5447419264997,330.5447419264997,514.8442580735002,845.3889999999999,330.5447419264997,False,none,False,False,False,False,False
WDCX,-2313.5160311566933,-2643.48,-329.9639688433067,329.9639688433067,2313.5160311566933,2643.48,329.9639688433067,False,none,False,False,False,False,False
CRDU,-4208.29160969029,-4538.160000000001,-329.8683903097108,329.8683903097108,4208.29160969029,4538.160000000001,329.8683903097108,False,none,False,False,False,False,False
MSFU,-143.0681290281513,-468.6,-325.5318709718487,325.5318709718487,143.0681290281513,468.6,325.5318709718487,False,none,False,False,False,False,False
KTUP,-356.4273905558689,-681.5799999999999,-325.15260944413103,325.15260944413103,356.4273905558689,681.5799999999999,325.15260944413103,False,none,False,False,False,False,False
NEMG,-299.67933236878275,-623.5785,-323.8991676312172,323.8991676312172,299.67933236878275,623.5785,323.8991676312172,False,none,False,False,False,False,False
