ETF,Underlying,Beta_base,Delta,Beta_trial,Borrow_annual,CAGR,AnnVol,MaxDD,TotalReturn,TradingDays,Sharpe,Sortino,DownsideSemivar,DownsideDev
TSMY,TSM,0.7907045793513083,0.2,0.9488454952215699,0.038828,0.09230576873079754,0.10204889130721101,-0.09034849740114936,0.13841094848615554,370,0.916116995466743,1.5922339604255245,1.368056883405322e-05,0.0587154438472657
XOMO,XOM,0.780590128531475,-0.2,0.6244721028251801,0.048724,-0.05986702188180437,0.1040461400417527,-0.2014795464936351,-0.13964936127122995,614,-0.5414228126580687,-0.8123980190607313,1.9080370141345932e-05,0.0693415696074092
XOMO,XOM,0.780590128531475,-0.1,0.7025311156783275,0.048724,-0.03251530288661708,0.08211926970035753,-0.13706508197799072,-0.07738237560837535,614,-0.3615464277348824,-0.5413196953935389,1.1937409944548047e-05,0.054847309013534185
XOMO,XOM,0.780590128531475,0.0,0.780590128531475,0.048724,-0.01087101932640444,0.07046586430380582,-0.09427503652731384,-0.02628083542579185,614,-0.119953381260519,-0.1810701558330129,8.647454064002256e-06,0.046681456962358925
XOMO,XOM,0.780590128531475,0.1,0.8586491413846226,0.048724,0.006651484317242717,0.06706856755776396,-0.08334323530012644,0.016283894511047947,614,0.1323073359091681,0.20457388313853095,7.466292376040435e-06,0.04337632624787616
XOMO,XOM,0.780590128531475,0.2,0.93670815423777,0.048724,0.02110843428520015,0.06921230482985621,-0.08086103746401763,0.05221301000326317,614,0.3363392129171823,0.5346049988094063,7.524108670396718e-06,0.043543947741792696
XYZY,XYZ,0.7971179910670209,-0.2,0.6376943928536167,0.025484,-0.014131240890502106,0.20765536423656963,-0.35139557858668413,-0.03255348284346404,586,0.0339418194353541,0.05660823645258768,6.151722763241257e-05,0.1245083987663803
XYZY,XYZ,0.7971179910670209,-0.1,0.7174061919603187,0.025484,0.0036883623559333945,0.15422015029409736,-0.27951247152336156,0.008597878785593593,586,0.10048676159860645,0.1626469262905202,3.6025306403679794e-05,0.09528051854249803
XYZY,XYZ,0.7971179910670209,0.0,0.7971179910670209,0.025484,0.014644380987548056,0.12773230271949448,-0.23854207145802198,0.03438500822265467,586,0.177486307502688,0.27765992030971526,2.6454786535068054e-05,0.08164928785260255
XYZY,XYZ,0.7971179910670209,0.1,0.876829790173723,0.025484,0.02131962071528215,0.12454661725381527,-0.2247463801700823,0.05027863391678866,586,0.23142338419709121,0.3626182493364635,2.5071394960843698e-05,0.07948579451784206
XYZY,XYZ,0.7971179910670209,0.2,0.956541589280425,0.025484,0.025256718434819136,0.13602370177035383,-0.2261634321224283,0.05971760466927245,586,0.25105798141250174,0.400047824900221,2.891697615336686e-05,0.08536438361898041
AAPW,AAPL,1.0896727187369049,-0.2,0.8717381749895239,0.236112,-0.23969873435228284,0.1375014817861664,-0.3227814338217093,-0.2347217208792972,246,-1.9229277251935994,-2.4676609506229297,4.555847319275206e-05,0.10714819291324292
AAPW,AAPL,1.0896727187369049,-0.1,0.9807054468632144,0.236112,-0.20027031385449756,0.10498950223830184,-0.2632953729531644,-0.19600362025510498,246,-2.074793398416733,-2.575485388927551,2.8387212367741937e-05,0.0845788242804957
AAPW,AAPL,1.0896727187369049,0.0,1.0896727187369049,0.236112,-0.1686291589803014,0.08812586657929203,-0.21285902357187392,-0.1649654670319689,246,-2.0504649593270368,-2.5574593743488547,1.9810410608023102e-05,0.07065566837290425
AAPW,AAPL,1.0896727187369049,0.1,1.1986399906105953,0.236112,-0.1427437132393129,0.08452424137147117,-0.1696518594006955,-0.13959429447307858,246,-1.7792299531456908,-2.3526685677752184,1.6214541938556383e-05,0.06392233231442834
AAPW,AAPL,1.0896727187369049,0.2,1.3076072624842858,0.236112,-0.12121398271193784,0.08970616688789952,-0.13227933267114744,-0.11850621663741134,246,-1.395321939576434,-1.9737155198141563,1.5959665792419444e-05,0.06341794524966651
AMDW,AMD,1.1965815130260844,-0.2,0.9572652104208675,0.151858,-0.25984762536533423,0.1742710862499885,-0.19723232176448857,-0.15394103524000624,140,-1.6374865291487883,-1.9990263794137222,8.086648332655052e-05,0.14275277159582833
AMDW,AMD,1.1965815130260844,-0.1,1.076923361723476,0.151858,-0.15985120247102225,0.08473661112691887,-0.11134428861251422,-0.09223032142027288,140,-2.012205035755085,-2.4402552477030324,1.9373834882115013e-05,0.06987278719425027
AMDW,AMD,1.1965815130260844,0.0,1.1965815130260844,0.151858,-0.07845291356125927,0.035437570254056285,-0.051252639419143375,-0.04437496891005077,140,-2.2874228306288322,-3.0532301964958037,2.797055853544351e-06,0.026549163359570797
AMDW,AMD,1.1965815130260844,0.1,1.3162396643286929,0.151858,-0.0116705566935138,0.0685234217010152,-0.04179832857140642,-0.006500552821831818,140,-0.1370711310910184,-0.19742757196873284,8.981604470877668e-06,0.04757482870868977
AMDW,AMD,1.1965815130260844,0.2,1.4358978156313011,0.151858,0.04365583683349472,0.11506539849733545,-0.05919494921954038,0.02402277230347072,140,0.42877536563932916,0.6500002181919626,2.286238837171557e-05,0.07590337192557604
AMZW,AMZN,1.214240285726866,-0.2,0.9713922285814928,0.037725999999999996,0.024379239306650646,0.08318922013496109,-0.041987542183431814,0.015799048135776816,164,0.33111804057418903,0.4907800385654873,1.2500444930420197e-05,0.05612585965903676
AMZW,AMZN,1.214240285726866,-0.1,1.0928162571541793,0.037725999999999996,0.01729813308760808,0.044058765915727265,-0.01704098775187124,0.01122377586857648,164,0.411284598374745,0.6184003420433761,3.407293673266595e-06,0.02930252558506147
AMZW,AMZN,1.214240285726866,0.0,1.214240285726866,0.037725999999999996,0.010465332325359622,0.025021963616979226,-0.007955095122237577,0.006798384859350692,164,0.42858742997694804,0.634345823462795,1.134145894750441e-06,0.016905761310189824
AMZW,AMZN,1.214240285726866,0.1,1.3356643142995526,0.037725999999999996,0.004116159987274326,0.03624381921892341,-0.01976078733116826,0.002676849122607683,164,0.1314751615025944,0.1767270518241647,2.885019354558141e-06,0.026963398846374165
AMZW,AMZN,1.214240285726866,0.2,1.457088342872239,0.037725999999999996,-0.0016877345534992427,0.055668435846523076,-0.0354567427864817,-0.001098690848516659,164,-0.002473195491668338,-0.003345585248199299,6.72032363429194e-06,0.04115241859042514
ARMW,ARM,1.1876875000594365,-0.2,0.9501500000475492,0.07386,0.23049879105947935,0.12260758354873884,-0.05287901418048169,0.0645531354529627,76,1.753896237488677,2.5653665075194314,2.7883229757737447e-05,0.08382466163933998
ARMW,ARM,1.1876875000594365,-0.1,1.068918750053493,0.07386,0.09963676265345023,0.07300578106929934,-0.02681108894466877,0.029058940502655117,76,1.3377556929919392,2.0147215609428852,9.324756720899622e-06,0.04847513479781882
ARMW,ARM,1.1876875000594365,0.0,1.1876875000594365,0.07386,0.0003008805332889164,0.05284092055163841,-0.012200762198009696,9.073221557809319e-05,76,0.03208935109661478,0.049471051713659,4.661866070609239e-06,0.034275213344245256
ARMW,ARM,1.1876875000594365,0.1,1.3064562500653802,0.07386,-0.07716913644457923,0.06464538590246938,-0.04835354561284233,-0.02392931047373692,76,-1.2098399174017587,-1.7950374611137547,7.533266128112129e-06,0.04357043796296127
ARMW,ARM,1.1876875000594365,0.2,1.4252250000713238,0.07386,-0.13899952100902668,0.08787506625139076,-0.08448613544866224,-0.044132163066003094,76,-1.6587724459163893,-2.428921697698289,1.4291485941887467e-05,0.06001211925399437
AVGW,AVGO,1.2001406671207928,-0.2,0.9601125336966343,0.19428,-0.19542113120878057,0.12512017631897643,-0.13820615071670272,-0.11378698577184576,140,-1.6744206632660565,-2.1992283992843618,3.6011617960911024e-05,0.09526241507619665
AVGW,AVGO,1.2001406671207928,-0.1,1.0801266004087136,0.19428,-0.1375004237582026,0.06408337229989451,-0.08546385066447537,-0.07889212640984056,140,-2.27552598260998,-2.9781950499212737,9.51365717444574e-06,0.04896367641385119
AVGW,AVGO,1.2001406671207928,0.0,1.2001406671207928,0.19428,-0.09159319892450835,0.03185456783053057,-0.05856145360019993,-0.051969233633793244,140,-2.999185157975518,-3.9532872184769645,2.317569217609815e-06,0.02416665973687041
AVGW,AVGO,1.2001406671207928,0.1,1.3201547338328723,0.19428,-0.054570578995422725,0.05038271835912868,-0.054678056743505676,-0.030694630855353955,140,-1.088494012132232,-1.5129044451224938,5.214248701271717e-06,0.03624900926536438
AVGW,AVGO,1.2001406671207928,0.2,1.4401688005449513,0.19428,-0.024236775638174834,0.0811914346471248,-0.06360171681384996,-0.01353825553946797,140,-0.2616126560147443,-0.3799089798753004,1.2404471680402353e-05,0.05590998894170337
BABW,BABA,1.2214859861507017,-0.2,0.9771887889205614,0.024596,0.04533671975158149,0.10810684855890001,-0.04555980228847212,0.013461901783341501,76,0.4644829656343425,0.5970519113449787,2.8068633553793235e-05,0.08410288731997194
BABW,BABA,1.2214859861507017,-0.1,1.0993373875356316,0.024596,0.030315921350541952,0.05777858412256824,-0.019989904540724246,0.009047733524260027,76,0.5458612367938244,0.7290984068193314,7.4254958686140524e-06,0.04325765780634386
BABW,BABA,1.2214859861507017,0.0,1.2214859861507017,0.024596,0.016620183947759104,0.03333578012404486,-0.008102942402019364,0.004983615580000933,76,0.5111602928731301,0.7123199586692263,2.2708303994407517e-06,0.023921731974484405
BABW,BABA,1.2214859861507017,0.1,1.343634584765772,0.024596,0.004353513984419521,0.04739898188459383,-0.022003467687774725,0.0013109733734659734,76,0.11533580520440674,0.1671450460551731,4.24501052307744e-06,0.032706920549258604
BABW,BABA,1.2214859861507017,0.2,1.465783183380842,0.024596,-0.006568664334664409,0.07235045490105968,-0.033460431964306925,-0.0019855868405656008,76,-0.054997114043960585,-0.08544458713852612,8.605828386673464e-06,0.046568967708568686
BRKW,BRK-B,1.1650870210247313,-0.2,0.9320696168197851,0.0,0.023921835769517008,0.04699673210871863,-0.025426367742693134,0.015503843125687755,164,0.5265347987474229,0.7665929790653814,4.134845281177328e-06,0.032279730650311915
BRKW,BRK-B,1.1650870210247313,-0.1,1.0485783189222582,0.0,0.02789453824294652,0.03210253280547622,-0.011696117998127198,0.018066263145131378,164,0.8731195331406787,1.2694235694622884,1.93469428740222e-06,0.022080375006447682
BRKW,BRK-B,1.1650870210247313,0.0,1.1650870210247313,0.0,0.030762337009782037,0.025348729824441748,-0.005304568093699391,0.019913863855721248,164,1.2080196425775678,1.7738472877161018,1.1825714771597145e-06,0.01726290856849587
BRKW,BRK-B,1.1650870210247313,0.1,1.2815957231272046,0.0,0.03290266118400087,0.02629239895390065,-0.006062657109922709,0.02129161404939639,164,1.2444917269866922,1.8563468016577942,1.232893848935378e-06,0.01762637937671022
BRKW,BRK-B,1.1650870210247313,0.2,1.3981044252296775,0.0,0.03454420306925998,0.031360056429552106,-0.00745669347409994,0.022347617173638534,164,1.098690036997946,1.6118982764548146,1.8131270659666061e-06,0.021375406911298432
COIW,COIN,1.2163831814642103,-0.2,0.9731065451713683,0.069396,0.07501962888340619,0.19765854588014375,-0.23092135190167362,0.07347776423892971,247,0.46511464716612505,0.6537701473088992,7.8469432616746e-05,0.14062111157084484
COIW,COIN,1.2163831814642103,-0.1,1.0947448633177894,0.069396,0.039071509904098134,0.1033416015190286,-0.10209304710324307,0.03828163071458346,247,0.42257304027936915,0.6102170383785837,2.0322856337273657e-05,0.07156367651953721
COIW,COIN,1.2163831814642103,0.0,1.2163831814642103,0.069396,0.0022923018209353163,0.05747311983604848,-0.04398205986455084,0.0022467685865923404,247,0.06855113116717684,0.10003306358572775,6.155610284141388e-06,0.039385451522150026
COIW,COIN,1.2163831814642103,0.1,1.3380214996106314,0.069396,-0.032495087292383706,0.08600174560221203,-0.09533297508030125,-0.03186072647383287,247,-0.3411292757745151,-0.49409198429534384,1.3990600633122977e-05,0.05937702720368367
COIW,COIN,1.2163831814642103,0.2,1.4596598177570523,0.069396,-0.06433307098152652,0.13333096639510528,-0.15851018455512755,-0.06309777535636496,247,-0.43213062499304317,-0.6272849656130136,3.347818053818411e-05,0.0918504300241561
