underlying,etf,delta,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl,bucket,symbol
BE,,,0.0,-22.778809,0.0,0.0,0.0,-21.22,6.826886152408423,0.0,0.0,-37.171922847591574,bucket_1,BEX
BIDU,,,0.0,227.299125,0.0,0.0,0.0,-19.61,2.6862033299411188,0.0,0.0,210.3753283299411,bucket_1,BIDG
BIDU,,,0.0,-213.492357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-213.492357,bucket_2,BIDU
IBIT,,,14.32960718,1022.666198,-0.19,0.0,-16.990000000000002,-32.72,13.585139481350136,0.0,0.0,1000.6809446613499,bucket_1,BITU
IBIT,,,14.24840192,892.022072,0.0,0.0,-11.72,-44.9,13.594389040493576,0.0,0.0,863.2448629604935,bucket_1,BITX
BLSH,,,0.0,716.003954,0.0,0.0,0.0,-0.59,10.10437712853982,0.0,0.0,725.5183311285398,bucket_1,BLSG
BLSH,,,1605.89395816,-796.453919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.44003916,bucket_2,BLSH
BMNR,,,0.0,374.535396,0.0,0.0,0.0,-110.45,14.150347749245448,0.0,0.0,278.23574374924544,bucket_1,BMNG
BMNR,,,0.0,-57.173733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.173733,bucket_2,BMNR
BA,,,8.57761986,1063.567546,0.0,0.0,0.0,-47.72,14.029008857996889,0.0,0.0,1038.4541747179967,bucket_1,BOEG
BA,,,7.92436088,1163.775332,0.0,0.0,-16.68,-35.71,10.19648960213988,0.0,0.0,1129.5061824821398,bucket_1,BOEU
IBIT,,,15.80522437,888.113162,0.0,0.0,0.0,-35.76,13.495927757067252,0.0,0.0,881.6543141270673,bucket_1,BTCL
BULL,,,0.0,544.251268,0.0,0.0,0.0,-17.42,2.3952253347570935,0.0,0.0,529.2264933347572,bucket_1,BULG
BULL,,,-56.38210194,-464.566311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-520.94841294,bucket_2,BULL
CEG,,,0.0,-471.590142,14.93,0.0,0.0,0.0,0.0,0.0,0.0,-456.660142,bucket_2,CEG
CEG,,,5.9e-07,683.068941,0.0,0.0,0.0,-81.74,13.808497178772502,0.0,0.0,615.1374387687725,bucket_1,CEGX
ASHR,,,0.0,134.776359,-0.85,0.0,-16.99,-12.05,11.223436957098116,0.0,0.0,116.10979595709814,bucket_1,CHAU
CIFR,,,0.0,-119.863347,0.0,0.0,0.0,-39.74,10.96048129494037,0.0,0.0,-148.64286570505965,bucket_1,CIFG
CIFR,,,0.0,265.898822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.898822,bucket_2,CIFR
CLS,,,-52.83831383,345.851038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.01272417,bucket_2,CLS
CLSK,,,-618.37814002,71.102738,0.0,0.0,0.0,-0.35,0.0,0.0,0.0,-547.62540202,bucket_2,CLSK
CLSK,,,0.0,-29.920172,0.0,0.0,0.0,-28.91,8.882888010413785,0.0,0.0,-49.94728398958622,bucket_1,CLSX
CMG,,,7.1e-07,-1055.419527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1055.41952629,bucket_2,CMG
CMG,,,567.93314174,637.691949,0.0,0.0,0.0,-35.18,9.782749706608303,0.0,0.0,1180.227840446608,bucket_1,CMGG
CNC,,,-731.26244975,6.348801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-724.91364875,bucket_2,CNC
CNC,,,801.76991375,-6.172008,0.0,0.0,0.0,-10.72,1.1212217077663766,0.0,0.0,785.9991274577663,bucket_1,CNCG
COHR,,,0.0,103.752743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.752743,bucket_2,COHR
COHR,,,0.0,-106.663794,0.0,0.0,0.0,-0.36,1.3532816531402627,0.0,0.0,-105.67051234685974,bucket_1,COHX
COIN,,,-563.99063842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-563.99063842,bucket_1,COIA
COIN,,,93.59890475,0.0,0.0,0.0,0.0,-4.0200000000000005,0.0,0.0,0.0,89.57890475,bucket_1,COIG
COIN,,,116.46093645,-2445.023121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2328.56218455,bucket_2,COIN
COIN,,,2003.50306779,0.0,0.0,0.0,-136.06,-13.67,0.0,0.0,0.0,1853.77306779,bucket_2,COIW
COIN,,,0.0,1054.33598,0.0,0.0,-14.54,-28.93,5.850017771510827,0.0,0.0,1016.715997771511,bucket_1,CONX
COIN,,,91.66352075,0.0,0.0,0.0,-29.27,-4.07,0.0,0.0,0.0,58.32352075000001,bucket_2,CONY
COPX,,,0.0,-1086.716771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1086.716771,bucket_2,COPX
COPX,,,0.0,1026.378221,0.0,0.0,0.0,-18.990000000000002,11.015048220774748,0.0,0.0,1018.4032692207746,bucket_1,COPZ
CORZ,,,-11.88782572,262.437298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.54947228,bucket_2,CORZ
COST,,,-15.20872363,74.165906,7.8,0.0,0.0,0.0,0.0,0.0,0.0,66.75718237000001,bucket_2,COST
COST,,,-11.596089,51.834424,0.0,0.0,0.0,-71.63,11.608443015053918,0.0,0.0,-19.783221984946078,bucket_1,COTG
CORZ,,,0.0,-43.405528,0.0,0.0,0.0,-24.27,14.26388745600916,0.0,0.0,-53.41164054399084,bucket_1,COZX
CRCL,,,0.0,1953.465138,0.0,0.0,0.0,-57.34,11.355503147708301,0.0,0.0,1907.4806411477084,bucket_1,CRCG
CRCL,,,0.0,-1986.716514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1986.716514,bucket_2,CRCL
CRDO,,,0.0,861.208786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.208786,bucket_2,CRDO
CRDO,,,3.9e-07,-710.859473,0.0,0.0,0.0,-32.04,11.310623629970898,0.0,0.0,-731.5888489800291,bucket_1,CRDU
CRM,,,0.0,-2432.567599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2432.567599,bucket_2,CRM
CRM,,,0.0,2512.620783,0.0,0.0,0.0,-39.97,10.346097116451087,0.0,0.0,2482.996880116451,bucket_1,CRMG
CRML,,,0.0,-2216.416358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2216.416358,bucket_2,CRML
CRML,,,0.0,2644.028058,0.0,0.0,0.0,-87.47,27.544804011330818,0.0,0.0,2584.1028620113307,bucket_1,CRMU
CRWD,,,-529.33483925,-641.098086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1170.43292525,bucket_2,CRWD
CRWV,,,166.73591106,0.0,0.0,0.0,0.0,-12.07,0.0,0.0,0.0,154.66591106,bucket_1,CRWG
CRWD,,,1112.61186175,171.626546,0.0,0.0,0.0,-31.45,2.50449601422383,0.0,0.0,1255.2929037642236,bucket_1,CRWL
CRWV,,,15.10061921,1472.182678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487.28329721,bucket_2,CRWV
CSCO,,,116.76079815,-276.026258,0.0,0.0,-25.45,-53.21,12.484332481042362,0.0,0.0,-225.4411273689576,bucket_1,CSCL
CSCO,,,-36.0973775,331.689797,3.69,0.0,0.0,0.0,0.0,0.0,0.0,299.2824195,bucket_2,CSCO
CLS,,,0.0,-216.447009,0.0,0.0,0.0,-16.65,3.423732526612299,0.0,0.0,-229.67327647338772,bucket_1,CSEX
CVNA,,,1060.05958389,0.0,0.0,0.0,-140.7,-23.330000000000002,0.0,0.0,0.0,896.02958389,bucket_2,CVNY
KWEB,,,0.0,714.980226,0.0,0.0,-29.95,-7.45,10.620628410317929,0.0,0.0,688.2008544103179,bucket_1,CWEB
CRWV,,,0.0,-803.624927,0.0,0.0,0.0,-44.27,19.03707045741828,0.0,0.0,-828.8578565425817,bucket_1,CWVX
DELL,,,0.0,484.468229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.468229,bucket_2,DELL
DJT,,,0.0,-19.467657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.467657,bucket_2,DJT
DJT,,,0.0,19.183799,0.0,0.0,0.0,-0.44,1.1017647948936369,0.0,0.0,19.845563794893636,bucket_1,DJTU
DKNG,,,-1237.16958865,-519.897817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1757.06740565,bucket_2,DKNG
DELL,,,0.0,-489.433152,0.0,0.0,0.0,-19.36,4.5956352507504254,0.0,0.0,-504.1975167492496,bucket_1,DLLL
DNN,,,0.0,-60.005513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.005513,bucket_2,DNN
