pair_key,bucket,d_total,d_real,d_unr,d_borrow,d_pil,day
BE/BEG,bucket_1,-970.527121647269,0.0,-966.8599999999999,-5.060000000000002,0.0,2026-06-03
MRVL/MVLL,bucket_1,-893.9725066587296,0.0,-895.3199999999999,-0.3999999999999986,0.0,2026-06-03
CIFR/CIFG,bucket_1,-890.1012357553082,0.0,-887.3100000000002,-4.000000000000028,0.0,2026-06-03
GLXY/(spot),bucket_1,-850.5,0.0,-850.5,0.0,0.0,2026-06-03
XRPZ/GXRP,bucket_1,-785.1799999999998,0.0,-785.18,0.0,0.0,2026-06-03
SNDK/(spot),bucket_1,-766.1899999999987,0.0,-766.1900000000005,0.0,0.0,2026-06-03
MARA/(spot),bucket_2,-763.1663029352976,99.24369706470225,-862.4099999999996,0.0,0.0,2026-06-03
LUNR/LUNL,bucket_1,-756.5586994574853,0.0,-737.94,-18.80000000000001,0.0,2026-06-03
FIG/(spot),bucket_1,-704.6700000000001,0.0,-704.6700000000001,0.0,0.0,2026-06-03
FLY/(spot),bucket_1,-685.56,0.0,-685.5600000000002,0.0,0.0,2026-06-03
UEC/UECG,bucket_1,-632.9115006252107,0.0,-633.260001,-0.6800000000000068,0.0,2026-06-03
USAR/USGG,bucket_1,-624.421327811322,0.0,-615.8400000000001,-8.870000000000005,0.0,2026-06-03
COHR/COHX,bucket_1,-624.3356794264217,0.0,-624.03,-1.3999999999999986,0.0,2026-06-03
ETHA/(spot),bucket_1,-612.4699999999993,0.0,-612.47,0.0,0.0,2026-06-03
MARA/MAAY,bucket_2,-560.1857835509466,0.0,520.329995,-8.610000000000014,-1060.289999999999,2026-06-03
TSUI/(spot),bucket_1,-544.235154,0.0,-544.235154,0.0,0.0,2026-06-03
RCAT/RCAX,bucket_1,-541.7695519180106,0.0,-527.5200000000004,-10.789999999999992,0.0,2026-06-03
HOOD/HOYY,bucket_2,-492.2603226374679,0.0,122.98999500000002,-67.13999999999999,-540.0499999999998,2026-06-03
MU/MUYY,bucket_2,-474.3754602259386,0.0,21.5,-10.310000000000002,-477.08,2026-06-03
SBET/(spot),bucket_1,-451.82000000000005,0.0,-451.82,0.0,0.0,2026-06-03
CIFR/CIFU,bucket_1,-433.02960984754884,0.0,-430.44,-3.160000000000011,0.0,2026-06-03
QBTS/QBTX,bucket_1,-431.03655813464775,0.0,-417.4499999999998,-13.110000000000014,0.0,2026-06-03
WULF/WULX,bucket_1,-429.3320104939303,0.0,-427.0499999999997,-2.2600000000000193,0.0,2026-06-03
IREN/IREG,bucket_1,-415.76508677007223,0.0,-408.2400000000007,-6.720000000000027,0.0,2026-06-03
XBI/LABD,bucket_3,-400.95761996319123,0.0,-400.40000000000003,-0.9700000000000131,0.0,2026-06-03
RGTI/RGTX,bucket_1,-400.9312886735529,0.0,-397.44000000000005,-3.740000000000009,0.0,2026-06-03
HIMS/HMYY,bucket_2,-398.6769196588525,0.0,-17.430000000000064,-3.789999999999992,-373.73,2026-06-03
PLTR/(spot),bucket_1,-390.0799999999999,0.0,-390.08000000000004,0.0,0.0,2026-06-03
IREN/IREX,bucket_1,-387.19648520445435,0.0,-382.33000000000015,-4.309999999999988,0.0,2026-06-03
BBAI/(spot),bucket_1,-382.4899999999998,0.0,-382.4899999999998,0.0,0.0,2026-06-03
SMCI/SMCL,bucket_1,-376.37833709238294,0.0,-375.5400000000001,-1.2399999999999949,0.0,2026-06-03
IREN/IRE,bucket_1,-360.67868765722596,0.0,-354.9500000000003,-5.150000000000006,0.0,2026-06-03
SRPT/(spot),bucket_1,-353.6,0.0,-353.6,0.0,0.0,2026-06-03
SNOW/(spot),bucket_1,-342.3600000000001,0.0,-342.36,0.0,0.0,2026-06-03
GEMI/(spot),bucket_1,-341.88,0.0,-341.88,0.0,0.0,2026-06-03
SOEZ/(spot),bucket_1,-336.360001,0.0,-336.360001,0.0,0.0,2026-06-03
PL/PLU,bucket_1,-328.7517273289951,0.0,-326.19000000000005,-2.539999999999999,0.0,2026-06-03
OSCR/(spot),bucket_1,-320.25,0.0,-320.25,0.0,0.0,2026-06-03
META/(spot),bucket_2,-316.72069549730213,-130.18069549730092,-186.5400000000011,0.0,0.0,2026-06-03
RKLZ/RKLB,bucket_4,-311.4811791197508,0.0,-305.19620286802046,-5.609999999999999,0.0,2026-06-03
AMZN/AMZO,bucket_3,-306.57400223248806,0.0,-302.28999999999996,-3.730000000000018,0.0,2026-06-03
DUOL/(spot),bucket_1,-280.70000000000005,0.0,-280.7,0.0,0.0,2026-06-03
FIGR/(spot),bucket_1,-275.8799999999999,0.0,-275.88,0.0,0.0,2026-06-03
TDOG/(spot),bucket_1,-266.53000099999997,0.0,-266.53000099999997,0.0,0.0,2026-06-03
