date,long_realized_pnl,long_unrealized_pnl,short_realized_pnl,short_unrealized_pnl,gross_realized_pnl,gross_unrealized_pnl,other_fees,borrow_fees,short_credit_interest,excluded_cash_interest_base,dividends,withholding_tax,pil_dividends,bond_interest,strategy_total_pnl
2026-04-10,14598.004805970017,-50742.8005,6559.839334360002,69654.52659600003,21157.844140330002,18911.726095999984,0.0,-7327.3099999999995,2215.1900000000005,-4054.7053851,438.62,0.0,-18431.46,0.0,16964.610236329994
2026-04-11,14598.004805970015,-34722.26049999996,6559.839334360002,55594.956591000155,21157.844140330002,20872.696090999998,0.0,-7565.289999999999,2215.1899999999996,-4054.7053851,476.18,-7.89,-18443.42,0.0,18705.310231329997
2026-04-14,14598.004805580014,4168.069727999964,6559.839334360002,18058.96075799995,21157.84413994,22227.030486,0.0,-8279.710000000001,2215.1899999999996,-4054.7053851,476.18,-7.89,-18443.42,0.0,19345.22462594
2026-04-15,13907.487804959994,35600.238754999926,6116.558614560002,-10036.648515000008,20024.04641952,25563.590239999998,0.0,-8533.07,2215.19,-4054.7053851,485.18,-7.89,-20241.56,0.0,19505.48665952
2026-04-16,16921.847629790005,60479.543145000076,6116.558614560001,-36948.650545000055,23038.40624435,23530.8926,0.0,-8768.76,2215.19,-4054.7053851,488.17999999999995,-7.89,-20218.55,0.0,20277.468844350005
2026-04-17,15959.384665340016,87829.78996400014,6111.949067360003,-65748.25076500002,22071.333732699997,22081.53919899999,0.0,-8852.630000000001,2215.19,-4054.7053851,488.18,-7.89,-20218.550000000003,0.0,17777.1729317
2026-04-18,15902.818652339998,113357.29996499991,6111.949067360003,-84210.67471900006,22014.7677197,29146.62524599998,0.0,-9126.95,2215.19,-4054.7053851,488.18,-7.89,-20232.210000000003,0.0,24497.71296569996
2026-04-21,15902.818653209988,121206.17996499984,6111.949067360002,-92649.77717900003,22014.76772057,28556.402786000006,0.0,-10000.46,2215.19,-4054.7053851,488.17999999999995,-7.89,-20232.210000000003,0.0,23033.98050657002
2026-04-22,16672.52367121002,96760.2359019999,5840.572249510002,-66818.85190900003,22513.09592072,29941.38399299999,0.0,-10532.2,2215.1900000000005,-4054.7053851,499.97,-7.89,-22158.98,0.0,22470.569913720014
2026-04-23,18877.54809263003,134288.8606359999,4906.034169600004,-106890.15937000001,23783.582262229997,27398.701266000004,0.0,-10623.77,2215.19,-4054.7053851,545.33,-7.89,-22158.98,0.0,21152.163528229998
2026-04-24,18990.11033269002,95196.15576200001,4972.985737160005,-68297.85697100004,23963.09606985,26898.298791,0.0,-10934.32,2215.19,-4054.7053851,569.27,-7.89,-22169.39,0.0,20534.254860850007
2026-04-25,8950.421316330037,107634.97202000029,3017.0305823000026,-74900.99851100006,11967.451898629995,32733.973508999996,0.0,-10962.25,2215.1899999999996,-4054.7053851,586.43,-7.89,-18646.239999999998,0.0,17886.66540763002
2026-04-28,19853.183085670018,118381.50131199992,4412.838163620003,-85375.59674300003,24266.021249289995,33005.904569000006,0.0,-12302.45,2215.1900000000005,-4054.7053851,576.7699999999999,-7.89,-22193.980000000003,0.0,25559.565818289993
2026-04-29,20322.546598670022,58020.472192999936,4412.838163620004,-23378.13121100002,24735.38476229,34642.340982,0.0,-12682.810000000001,2215.1900000000005,-4054.7053851,576.7700000000001,-7.89,-25487.969999999998,0.0,23991.01574429001
2026-04-30,-1579.632987789997,44033.34994699997,3671.4925876700017,-15841.331716999894,2091.859599880001,28192.018229999994,-0.25,-11540.51,2215.19,-4054.7053851,599.43,-7.89,-19204.460000000003,0.0,2345.3878298799973
2026-05-01,20322.546598670015,97804.29219300012,4412.838163620005,-58692.94121500001,24735.384762289996,39111.350978,-0.25,-13440.34,2215.1900000000005,-4054.7053851,598.53,-7.89,-25487.969999999998,0.0,27724.005740290013
2026-05-02,20322.54659846,130018.54131200003,4396.495459640005,-84630.7176009999,24719.042058099993,45387.82371100002,-0.25,-13785.670000000002,2215.1899999999996,-4054.7053851,616.6500000000001,-7.89,-25517.329999999998,0.0,33627.565769099994
2026-05-04,20322.54659846,130018.54131200003,4396.495459640005,-84630.7176009999,24719.042058099993,45387.82371100002,-0.25,-13785.670000000002,2215.1899999999996,-4054.7053851,616.6500000000001,-7.89,-25517.329999999998,0.0,33627.565769099994
2026-05-05,20044.97044866001,146950.92024299983,4155.910709890003,-99404.78080000007,24200.881158549997,47546.13944299999,-0.25,-14880.85,2215.1899999999996,-4054.7053851,616.65,-7.89,-25517.329999999998,0.0,34172.54060155002
