ETF,Underlying,sleeve,price_pnl_usd,borrow_cost_usd,margin_cost_usd,txn_cost_usd,pnl_usd,end_weight
ISUL,ISRG,core_leveraged,-20.761566132703113,5.693416129271513,0.37316188996554733,12.86504601115503,-39.6931901630952,0.0
BOEG,BA,core_leveraged,-15.983055812851045,8.706240636866532,0.9489399336513448,12.99345067783797,-38.63168706120689,0.0005609559154616691
MEXX,EWW,core_leveraged,4.904013671948132,8.923201750045736,1.982458704209755,32.57175347939239,-38.57340026169975,0.001134532052045564
UPSG,UPS,core_leveraged,-2.9441830956166375,3.9784587594465637,0.4365161504061376,30.226803901669623,-37.58596190713896,0.0
QYLG,QQQ,core_leveraged,-22.072953814367544,0.0,0.0,15.386562330561123,-37.45951614492867,0.0
PLTW,PLTR,yieldboost,36.02219475890434,3.5139004859156513,0.0,69.64556004718668,-37.137265774197985,0.0
SNOY,SNOW,core_leveraged,-20.935469876888543,0.0,0.0,15.527407655885119,-36.46287753277366,0.0
AAPX,AAPL,core_leveraged,-10.759845554766759,11.157805464081504,0.37366979058839667,13.31481160004443,-35.60613240948109,0.0
XYLG,SPY,core_leveraged,-14.443036188745165,5.6619261226278885,0.0,15.39330248783785,-35.4982647992109,0.0
SBU,SBUX,core_leveraged,-3.4567942400221687,6.316347861672776,0.8657163965260071,23.842893281698565,-34.48175177991952,0.0
MSTP,MSTR,core_leveraged,42.33473348569039,5.587836807843692,0.6227337390267806,69.74814554432258,-33.62398260550266,0.0003124704539042628
MSTW,MSTR,yieldboost,23.988248562463113,12.532054563230561,0.0,45.05825192814977,-33.60205792891722,0.0
FBY,META,core_leveraged,-17.430794239065925,0.0,0.0,15.91265102778993,-33.34344526685585,0.0
AZYY,AMZN,yieldboost,134.4630219525218,2.541112568222181,0.988553481688454,163.88446890158752,-32.951112998976356,0.0
NFLW,NFLX,yieldboost,13.199671303447522,4.922034774146099,0.0,41.2148807856029,-32.93724425630148,0.0
ASMU,ASML,core_leveraged,0.29890754133523245,15.614900259740285,1.0974594132920408,16.4691232718079,-32.88257540350499,0.000874674740814149
APLY,AAPL,core_leveraged,-3.789363056235842,12.48058494344999,0.0,15.94829858961733,-32.21824658930316,0.0
CHAU,ASHR,core_leveraged,-8.634807682818991,2.041770199270053,0.39593247581566066,21.06715670068872,-32.139667058593425,0.0
QQQX,QQQ,core_leveraged,-16.71047083263614,0.0,0.0,15.345420778899038,-32.05589161153518,0.0
NFLU,NFLX,core_leveraged,10.395191959215957,7.400256548247353,1.638098416268789,32.846551434690895,-31.48971443999108,0.00024551477704741617
LCDL,LCID,core_leveraged,-21.414327129860514,3.451854563961813,0.18326787625090665,6.327948791124445,-31.377398361197677,0.0
PYPY,PYPL,core_leveraged,-7.581660485305623,6.765581803058932,0.0,14.827049850251665,-29.17429213861622,0.0
UNHU,UNH,core_leveraged,-8.92027951434294,2.0290447883173814,0.49725568937099207,16.952085800780722,-28.398665792812036,0.0
BITX,IBIT,core_leveraged,72.62611808861311,22.21509001061167,4.658856178428243,73.94740255362697,-28.19523065405378,0.001697417851479017
SPYI,SPY,core_leveraged,-12.856594739989902,0.0,0.0,15.163413968336354,-28.020008708326255,0.0
TSMX,TSM,core_leveraged,-7.620125692388244,7.837246437852397,0.4403363269873129,10.872981263825146,-26.770689721053103,0.0
BRKC,BRK-B,core_leveraged,-8.240624787982348,3.24947185222228,0.0,15.190734134402515,-26.680830774607145,0.0
FUTG,FUTU,core_leveraged,-9.223116086643236,10.012389187167352,0.3391052500171298,6.215798543771132,-25.79040906759885,0.0
NFLY,NFLX,core_leveraged,-8.38070325708507,0.0,0.0,16.443038609640904,-24.823741866725975,0.0
XOMO,XOM,core_leveraged,-7.977095886269662,0.424903505819066,0.0,16.420542203420805,-24.822541595509534,0.0
TSLR,TSLA,core_leveraged,67.71209170152511,22.27268092048061,3.078034416671195,66.58380276657722,-24.222426402203915,0.000744731093676663
LNOK,NOK,core_leveraged,15.232296598039415,1.2045205973362305,0.8031618836698945,37.069230184188655,-23.844616067155364,1.7597220685956733e-05
GDXU,GDX,core_leveraged,136.35896844401537,24.5877820626776,6.231968749890074,129.20915788434766,-23.669940252899963,0.002674677424666494
CPNX,CPNG,core_leveraged,-1.2715371889516724,6.365064529540836,0.630004614906495,14.84344533715085,-23.110051670549854,0.002124151424238212
AAPU,AAPL,core_leveraged,12.032954569464192,14.327762476315373,0.3750153216405936,20.367053738129638,-23.036876966621413,0.0
AMUU,AMD,core_leveraged,135.19090446031143,26.41813091874674,6.315774646269041,125.0351945324196,-22.578195637123954,0.0029102966378292366
TSMG,TSM,core_leveraged,18.289481929541864,10.509423885537625,1.9889407290692607,28.05704031674059,-22.26592300180561,0.0005188142250211112
BABO,BABA,core_leveraged,-6.345914315918973,0.0,0.0,15.918772499628588,-22.264686815547563,0.0
BEZ,BE,inverse_decay_bucket4,195.38259277927122,69.06665201157121,0.0,147.74793501418037,-21.431994246480357,0.0
ORLG,ORLY,core_leveraged,8.119164074173034,7.178073992820886,0.8742606846929388,20.08937620799724,-20.02254681133803,0.0
RTXG,RTX,core_leveraged,43.56500323755395,10.805690150676446,0.5714506268834716,51.517198214946326,-19.32933575495229,0.0
NVDX,NVDA,core_leveraged,37.093800983815456,12.667054142714123,0.927922560039488,42.34715734596501,-18.848333064903162,0.0
UNHG,UNH,core_leveraged,51.93146274520732,15.845108047691195,2.461964390394765,51.87733410818801,-18.252943801066642,0.0007567760917387392
XYZG,XYZ,core_leveraged,154.19045978841368,4.695459146841323,5.204928347751209,162.27918707898905,-17.989114785167914,0.0019023000428619657
SPXL,SPY,core_leveraged,-1.5314184842775833,1.1598349346520855,0.7694096841288286,14.056293184220683,-17.516956287279182,0.00022063267689087084
COTG,COST,core_leveraged,6.825077245395902,10.390717364672247,0.366940794476835,13.400275104115252,-17.33285601786843,0.0
CRDX,CRDD,core_leveraged,9.44844351192268,0.0,0.32558740019737314,24.212074399660906,-15.0892182879356,0.0
NVDW,NVDA,core_leveraged,1.4564563425665915,0.9213821797911095,0.0,15.424019269376075,-14.888945106600593,0.0
BOEU,BA,core_leveraged,9.961052597315742,8.822104887148608,1.1702357109069106,14.111058048512703,-14.14234604925248,0.0005726580750049301
BABU,BABA,core_leveraged,21.488389721286023,10.782992794164578,1.3885804994050082,22.795586897174566,-13.47877046945813,0.00047496416917385117
AMZY,AMZN,core_leveraged,2.838002584195223,0.0,0.0,15.935386918162012,-13.097384333966788,0.0
ETHU,ETHA,core_leveraged,300.0014630872257,22.891313381386265,12.044872805781473,276.4179813733229,-11.352704473264964,0.005651731934291484
MRVU,MRVL,core_leveraged,43.37093111494949,10.07115361994531,1.1193457396254307,43.39519749227875,-11.214765736899999,0.0
GMEU,GME,core_leveraged,10.33807262866516,9.174484376247598,0.40901243966799433,11.271437653275092,-10.516861840525525,0.0
DJTU,DJT,core_leveraged,16.68172530423768,11.607591000512002,0.4346307702927773,14.527145904153123,-9.887642370720222,0.0
STLU,STLR,core_leveraged,8.093850525753622,0.0,0.42081894934103986,16.418782344308426,-8.745750767895844,0.0
NFXL,NFLX,core_leveraged,40.76341792973392,7.557557271665079,1.4453732078963335,39.138991034787225,-7.378503584614716,0.00038123391513385647
PLYY,PLTR,yieldboost,16.8146214926558,3.4252906517810837,0.29281666131561795,20.12982895538329,-7.03331477582419,0.0
NEMG,NEM,core_leveraged,47.713061348777494,16.247505039766974,2.4219913610057304,35.949379946652876,-6.905814998648086,0.001247585134915477
AAPB,AAPL,core_leveraged,27.424080174753385,4.976902880850912,1.0172444949880348,28.109202098848648,-6.679269299934209,0.0
PYPG,PYPL,core_leveraged,23.888075659301563,10.020767182687408,0.85717685702807,19.35138168049196,-6.341250060905876,0.00013119565539825123
URTY,IWM,core_leveraged,42.57206474897404,3.1874332178372238,1.344675836625753,43.74681774986215,-5.706862055351088,0.0006549755628306072
ERX,XLE,core_leveraged,15.05362991563636,1.6669302892808602,0.0,17.45846901523506,-4.071769388879559,0.0
PBRG,PBR,core_leveraged,16.747866621043414,6.945348499024101,0.0,13.622880322057865,-3.820362200038552,0.0
ZSL,SLV,inverse_decay_bucket4,0.2713907901129602,0.5630958280893287,0.0,3.2043148045455663,-3.496019842521935,0.0
METU,META,core_leveraged,30.600590976926963,10.94899315065722,1.2737734646573526,19.422862758992817,-1.0450383973804271,0.0010095215139156435
AMZW,AMZN,core_leveraged,19.529082564881058,5.421484018567765,0.0,15.07589829841653,-0.9682997521032348,0.0
BMNZ,BMNR,inverse_decay_bucket4,41.24427551452861,14.263378327093609,0.0,26.13605611175163,0.8448410756833731,0.0
AMZZ,AMZN,core_leveraged,29.609708145587533,6.828587935935121,1.4856713723789678,20.35595282195381,0.9394960153196337,0.00041438643729515976
BRKU,BRK-B,core_leveraged,7.829933548121833,2.388662633037928,0.0,4.28841924227795,1.152851672805955,0.0
MRAL,MARA,core_leveraged,155.57696965272706,30.2884535368439,1.4882215430228112,121.86694162352447,1.9333529493358697,0.0016097351171230532
PLTZ,PLTR,inverse_decay_bucket4,19.111349146409037,1.353599789612361,0.0,14.168889422521563,3.5888599342751135,0.0
HOOW,HOOD,yieldboost,72.68853491713453,3.6293243680131586,0.0,65.33989967895712,3.71931087016425,0.0
TSLW,TSLA,core_leveraged,33.82667248288794,15.024194628601665,0.0,14.927285165920384,3.875192688365896,0.0
TSMU,TSM,core_leveraged,51.42145686801242,9.938851220655415,1.9672803409337412,35.112006010802304,4.40331929562096,0.00040092089830138947
PYPU,PYPL,core_leveraged,24.906528294403138,0.867261249535168,0.8838324954010739,18.04160308789748,5.113831461569415,0.0
METW,META,core_leveraged,20.791596638570063,0.3147193552152685,0.0,15.032798834215997,5.444078449138798,0.0
FIGG,FIG,core_leveraged,302.90614699611194,55.66648751056902,10.587084226914925,229.0656255740535,7.586949684574478,0.011321406665688866
TSMY,TSM,core_leveraged,27.488884430004177,0.9340060073698881,0.0,16.637058920044712,9.917819502589577,0.0
UPSX,UPST,core_leveraged,191.87187283995715,68.15782609370996,7.342682884715039,106.05804889180442,10.313314969727742,0.006137625210566769
ADBU,ADBE,core_leveraged,23.977772227034944,0.9940026735066821,0.6077473049388437,11.960033833711822,10.415988414877596,0.0
