etf,days_in_ledger,long_pnl_usd,short_pnl_usd,gross_trading_pnl_usd,borrow_paid_usd,borrow_underlying_usd,margin_debit_allocated_usd,short_credit_usd,net_financing_allocated_usd,txn_cost_usd,turnover_usd,rebalance_days,gross_notional_mean,gross_notional_max,net_trading_pnl_usd,flow_sleeve_alloc_max_usd,flow_sleeve_alloc_days_gt0,underlying,beta_abs,bucket_universe,incumbent_cohort,from_screener_extra,pair_weight_gtp,bucket_runtime_last
VRTL,277,75476.0760383606,-71847.18317890167,3628.8928594589233,0.0,0.0,688.6049151452038,502.02146798026695,186.58344716493684,415.39243298251426,400993.4002714157,59,51200.48366663344,171383.728017807,3026.9169793114725,0.0,0,VRT,1.987,bucket_core_screener,post_start,0,0.007642364940907041,bucket_core_screener
RBLU,292,53040.82002258301,-49415.10344982147,3625.7165727615356,3379.118354759253,0.0,1036.4412311463404,732.4058450407939,304.0353861055465,679.2984435668704,647326.8750925064,62,71405.33773502585,221593.94604492188,-736.7356116701344,0.0,0,RBLX,2.015,bucket_core_screener,post_start,0,0.004780075335279643,bucket_core_screener
TEMT,243,21040.166706085205,-17591.46667289734,3448.700033187866,2477.929842588758,0.0,872.1710563750315,642.4485763366376,229.72248003839388,626.487199343096,594014.0624771118,52,77310.78468096306,206248.65376281738,114.56051121761821,0.0,0,TEM,1.992,bucket_core_screener,post_start,0,0.005194545524336912,bucket_core_screener
MVLL,292,13538.04863357544,-10162.987950325012,3375.0606832504272,1486.0560598896936,0.0,474.2188573100244,337.93031338779264,136.28854392223178,304.22874059639247,289399.285241127,62,32816.12211738547,113058.49077320099,1448.4873388421092,0.0,0,MRVL,1.989,bucket_core_screener,post_start,0,0.004880088322711496,bucket_core_screener
RDTL,277,89453.82563018799,-86106.38438892365,3347.4412412643433,0.0,0.0,1181.5265226592019,847.3480246351428,334.17849802405914,862.0279396146196,839043.7400941849,59,87326.77387450662,314208.71381378174,2151.234803625665,0.0,0,RDDT,1.997,bucket_core_screener,post_start,0,0.00828756689288282,bucket_core_screener
NVDG,347,5768.494239807129,-2448.9445691108704,3319.5496706962585,0.0,0.0,692.2817940666486,480.29490520893745,211.98688885771105,361.6548320019034,352398.9229416847,74,38925.08246638246,122526.86451530457,2745.907949836644,0.0,0,NVDA,1.996,bucket_core_screener,post_start,0,0.004178454682883416,bucket_core_screener
PLTU,347,111573.43841552734,-108441.35564994812,3132.0827655792236,2532.930410699962,0.0,1965.4066000155262,1380.429981532986,584.9766184825404,1360.9701580103745,1313243.7404727936,74,110874.04886758019,444248.469871521,-1346.7944216136525,0.0,0,PLTR,1.999,bucket_core_screener,post_start,0,0.00235524625079533,bucket_core_screener
COIA,162,-14662.59814453125,17744.813683509827,3082.2155389785767,1545.3581825542549,0.0,463.5695827817349,341.7440265294654,121.82555625226952,265.57652021022557,261667.173476696,35,68170.04672228554,103470.94097328186,1149.455279961827,0.0,0,COIN,2.006,bucket_core_screener,post_start,1,0.0014161508620149608,bucket_core_screener
HIMZ,287,35094.80169773102,-32216.986139297485,2877.8155584335327,2225.191396175776,0.0,498.4865333918852,357.3422815712561,141.1442518206291,492.0765940410061,448923.07116794586,61,35231.53815349885,130623.18891906738,19.403316396121564,0.0,0,HIMS,1.994,bucket_core_screener,post_start,1,0.0033307093936031556,bucket_core_screener
AMUU,272,98668.09073638916,-95881.41672325134,2786.6740131378174,1693.1150924299945,0.0,1052.3326200489432,769.9376672682527,282.3949527806905,645.5845606122433,628361.4551534653,58,80152.06661095339,221880.12190246582,165.5794073148889,0.0,0,AMD,1.992,bucket_core_screener,post_start,0,0.0021391719913814973,bucket_core_screener
