run_date,underlying,qty_b1,qty_b2,qty_b4,ledger_total,ibkr_position,diff_ledger_minus_ibkr
2026-04-21,ENPX,0.0,0.0,0.0,0.0,-33.0,33.0
2026-04-21,UECG,-423.0,0.0,0.0,-423.0,-455.0,32.0
2026-04-21,GLXY,343.0,0.0,0.0,343.0,375.0,-32.0
2026-04-21,NETG,0.0,0.0,0.0,0.0,-32.0,32.0
2026-04-21,ETHA,1644.0,0.0,0.0,1644.0,1676.0,-32.0
2026-04-21,AIYY,31.0,0.0,0.0,31.0,0.0,31.0
2026-04-21,MEXX,0.0,0.0,0.0,0.0,-31.0,31.0
2026-04-21,JOBX,0.0,0.0,0.0,0.0,-30.0,30.0
2026-04-21,LRCU,0.0,0.0,0.0,0.0,-30.0,30.0
2026-04-21,AAPB,-177.0,0.0,0.0,-177.0,-147.0,-30.0
2026-04-21,QYLD,30.0,0.0,0.0,30.0,0.0,30.0
2026-04-21,LBRDK,0.0,0.0,0.0,0.0,-30.0,30.0
2026-04-21,MRNX,-174.0,0.0,0.0,-174.0,-145.0,-29.0
2026-04-21,SNXX,-28.0,0.0,0.0,-28.0,0.0,-28.0
2026-04-21,NEBX,-126.0,0.0,0.0,-126.0,-153.0,27.0
2026-04-21,AMDL,-371.0,0.0,0.0,-371.0,-345.0,-26.0
2026-04-21,COIW,26.0,0.0,0.0,26.0,0.0,26.0
2026-04-21,TQQQ,0.0,0.0,0.0,0.0,-25.0,25.0
2026-04-21,COIG,24.0,0.0,0.0,24.0,0.0,24.0
2026-04-21,MSFU,-183.0,0.0,0.0,-183.0,-159.0,-24.0
2026-04-21,AAPU,-156.0,0.0,0.0,-156.0,-133.0,-23.0
2026-04-21,BITU,-391.0,0.0,0.0,-391.0,-368.0,-23.0
2026-04-21,AMZU,-176.0,0.0,0.0,-176.0,-153.0,-23.0
2026-04-21,LBRDP,22.0,0.0,0.0,22.0,0.0,22.0
2026-04-21,LABU,-26.0,0.0,0.0,-26.0,-4.0,-22.0
2026-04-21,ASMU,-166.0,0.0,0.0,-166.0,-187.0,21.0
2026-04-21,NUGT,-15.0,0.0,0.0,-15.0,-36.0,21.0
2026-04-21,GXRP,-20.0,0.0,0.0,-20.0,0.0,-20.0
2026-04-21,QYLG,19.0,0.0,0.0,19.0,0.0,19.0
2026-04-21,CMG,192.0,0.0,0.0,192.0,211.0,-19.0
2026-04-21,PALU,-289.0,0.0,0.0,-289.0,-308.0,19.0
2026-04-21,BRK.B,19.0,0.0,0.0,19.0,0.0,19.0
