date,nav,cash,u_notional,s_notional,borrow_cost,rebalance_friction
2024-11-05,1119240.9331341425,1197588.2373304316,-26115.768065429656,-52231.53613085931,10.540730195070338,6.269669985471056
2024-11-06,1119419.3979767475,1197577.9989425857,-20957.09783028306,-57201.503135555125,10.238387845967466,0.0
2024-11-07,1118906.2678350261,1322391.467512683,-95103.1662110668,-108382.03346659,10.330888582866953,74.93924322114076
2024-11-08,1119241.0504980087,1322365.8555868515,-94321.49635179776,-108803.30873704498,25.611925831613163,0.0
2024-11-11,1119767.3816927678,1322340.3001131916,-93539.82649252872,-109033.091927895,25.555473659864177,0.0
2024-11-12,1120439.4442551164,1322314.8146351278,-92497.60001350332,-109377.770366508,25.485478063894135,0.0
2024-11-13,1121610.7775625258,1322289.40275216,-88849.80733691447,-111828.81785271995,25.411882967689497,0.0
2024-11-14,1121577.833142449,1322263.9833190981,-88589.25071715812,-112096.89945949096,25.4194330619509,0.0
2024-11-15,1117156.9534797303,1322238.2648333467,-100835.41184570645,-104245.89950791,25.718485751359285,0.0
2024-11-18,1121202.6731453803,1322212.9180234377,-93279.26987277238,-107730.97500528501,25.346809909008435,0.0
2024-11-19,1118127.8250043856,1288155.0499126087,-71779.05518336185,-98248.16972486147,25.60102848150087,20.407115979820638
2024-11-20,1116517.9441565503,1288133.3350403088,-76651.78477805483,-94963.60610570372,21.714872299859827,0.0
2024-11-21,1117014.0816615338,1288111.6586729388,-75339.8960410221,-95757.68097038282,21.67636736998933,0.0
2024-11-22,1119210.998237711,1288090.1425354078,-69530.10306273433,-99349.0412349626,21.516137531090703,0.0
2024-11-25,1120912.8846614042,1345102.3097307065,-112094.71253465116,-112094.71253465116,21.400632307651936,34.24068510762833
2024-11-26,1122022.8979420213,1345074.3412439006,-109813.71547726,-113237.72782461919,27.96848680582726,0.0
2024-11-27,1122746.61977222,1345046.4436682216,-108510.2885873222,-113789.53530867923,27.897575678933016,0.0
2024-11-29,1124046.083318843,1345018.6473899332,-105251.72136247769,-115720.84270861265,27.796278288425498,0.0
2024-12-02,1125077.5269119313,1344990.9399301372,-102970.72430508652,-116942.68871311935,27.707459796070232,0.0
2024-12-03,1126009.1483798013,1344963.3238237423,-101341.44069266427,-117612.7347512767,27.61610639500384,0.0
2024-12-04,1125426.9383611633,1344935.663942346,-102644.86758260208,-116863.85799858066,27.65988139641527,0.0
2024-12-05,1125417.6298901604,1344908.0228781546,-103296.58102757098,-116193.8119604233,27.641064191308352,0.0
2024-12-06,1126924.9810401862,1344880.5035525928,-99712.15708024202,-118243.36543216473,27.519325561805516,0.0
2024-12-09,1125154.830889746,1344852.8420461274,-103622.43775005543,-116075.57340632599,27.6615064654805,0.0
2024-12-10,1125521.3697115495,1344825.2348129482,-103622.43775005543,-115681.4273513433,27.607233179338042,0.0
2024-12-11,1126637.1075033539,1344797.7239051645,-101178.51233142205,-116982.10407038868,27.510907783551083,0.0
2024-12-12,1125408.4793754914,1344770.092427348,-102970.72430508652,-116390.88874677,27.63147781657689,0.0
2024-12-13,1126308.5802826248,1344742.572388627,-102319.01086011763,-116114.98124588461,27.520038720871177,0.0
