date,ratio,rho,gross_frac,sleeve_equity,base_equity,put_mtm,put_cash_cum,realized_cum,redeploy_extra,combined_equity,combined_ret,drawdown
2026-02-17,0.9393518776478259,1.4945989803985493,0.1357021325481886,1165339.4999024994,1337353.6487639227,27891.13729096568,-41536.885342719004,48336.0,3021.086093859696,1326728.9868060292,0.004960838153687197,-0.003373033363214817
2026-02-18,0.9172511173014984,1.310425977512487,0.1596446229233767,1165309.7572599566,1337500.6572395195,26496.01948162379,-41536.885342719004,48336.0,3023.2183639285504,1325483.0097423529,-0.0009391345753859692,-0.0043090002063453925
2026-02-19,0.9245886799900378,1.371572333250315,0.15169559667745905,1161024.0595184434,1332761.8384613092,27215.919216482194,-41536.885342719004,48336.0,2901.892610225099,1321342.7649452975,-0.00312357440014277,-0.007419115123753484
2026-02-20,0.9051683269070728,1.2097360575589402,0.17273431251733778,1165056.246538828,1337570.9349054,25409.727135087323,-41536.885342719004,48336.0,3021.856065915017,1324465.6327636833,0.002363404788851442,-0.005073244707114566
2026-02-23,0.948961192776955,1.574676606474625,0.12529204115829873,1159426.9880352975,1331307.7674808595,28059.589112324375,-41536.885342719004,48336.0,2861.5567591407016,1320692.0280096056,-0.002849152639924357,-0.007907942898488729
2026-02-24,0.9161199202095474,1.3009993350795612,0.16087008643965706,1160283.7913223922,1332490.4849208603,25669.83757432957,-41536.885342719004,48336.0,2889.4083710338673,1319512.8455235045,-0.0008928519753982345,-0.008793734251448693
2026-02-25,0.8806483186478735,1.005402655398946,0.19929765479813705,1160758.7113166496,1333235.0726316946,23943.17954457555,-41536.885342719004,48336.0,2906.1826632242155,1318547.5494967753,-0.0007315548537508709,-0.009518856006225263
2026-02-26,0.8952426544391043,1.1270221203258695,0.18348712435763698,1160949.562094411,1333640.0340918174,24473.479048708123,-41536.885342719004,48336.0,2914.717067649319,1319491.344865456,0.0007157840982230379,-0.008809885353764701
2026-02-27,0.9211503294201722,1.342919411834768,0.15542047646148016,1156659.5550505605,1328896.7065257682,25556.46306701148,-41536.885342719004,48336.0,2793.2693760917755,1315709.5536261522,-0.0028660977989888314,-0.011650733159731863
2026-03-02,0.95543672120318,1.6286393433598336,0.11827688536322163,1155606.3956661155,1327870.6398179494,27093.404684241432,-41536.885342719004,48336.0,2765.7180339717597,1316192.8771934435,0.0003673482235948544,-0.01128766481226684
2026-03-03,1.0012743746019606,2.0,0.06999999999999999,1151260.5039065026,1323059.677735547,30684.214213411855,-41536.885342719004,48336.0,2642.650238515358,1314849.6568447552,-0.001020534582706789,-0.012296679942674804
2026-03-04,0.9488559331461068,1.5737994428842237,0.12540607242505095,1155408.7469861312,1328010.0254501882,26420.114272169234,-41536.885342719004,48336.0,2765.984389494566,1315659.238769133,0.0006157220486491255,-0.011688529230991618
