etf,n_panel,n_big50,worst_abs_ret,worst_date,yahoo_ov,scale_bad_days,phantom_days,max_abs_ratio_m1,scale_mode,issue
RGTU,259,3,0.6024690437470719,2025-07-16,259,0,0,0.1332503962112206,,jumps=3@2025-07-16
RGTX,313,3,0.6095133022270933,2026-05-21,313,0,0,0.00534243508832799,,jumps=3@2026-05-21
RGTZ,181,1,0.6089795949507733,2026-05-21,181,0,0,2.7472098818037693e-08,,jumps=1@2026-05-21
RIOX,370,0,0.42071201506126354,2025-12-30,370,247,0,0.5304607585667471,med=1.530,scale_bad=247;mode=med=1.530
RKLX,329,1,0.6770361485712362,2026-05-08,329,0,0,2.0139185208378763e-08,,jumps=1@2026-05-08
RKLZ,156,0,0.35507242454080523,2025-12-19,156,118,0,0.6666666666666667,1/3,scale_bad=118;mode=1/3
RKTL,111,0,0.26285936103152685,2026-01-30,111,0,0,2.6110546432533965e-05,,
ROBN,350,0,0.47916668690859177,2025-04-09,350,0,0,1.0282202755895753e-08,,
RTXG,258,0,0.1542144105983101,2025-10-21,258,0,0,9.357745995086653e-06,,
RTYY,140,0,0.07514940866912967,2025-12-15,140,0,0,0.19176291998935602,,
SATG,132,0,0.26729699606120627,2026-05-27,132,0,0,3.4953244210322865e-05,,
SBTU,169,0,0.34394893286808803,2026-02-06,169,0,0,1.2548346361995755e-08,,
SBU,144,0,0.1624061847642615,2026-04-29,144,0,0,2.4511714618147273e-05,,
SHPU,222,0,0.3143596147920684,2026-05-05,222,0,0,0.0060055423417122444,,
SMCL,383,2,0.6674418929591559,2026-03-20,383,0,0,8.643573512490121e-08,,jumps=2@2026-03-20
SMCX,466,6,0.6812500272478377,2024-08-22,466,49,1,1.0827130429096496,,phantom=1;scale_bad=49;jumps=6@2024-08-22
SMU,247,0,0.45742408126460044,2025-09-19,247,0,0,4.2214961304409826e-08,,
SMUP,230,3,0.7698986312932456,2026-04-30,230,10,0,0.3660550236852461,,scale_bad=10;jumps=3@2026-04-30
SMYY,180,0,0.0747104766262352,2026-01-02,180,42,0,0.297713454788342,,scale_bad=42
SMZ,99,0,0.32807384363511694,2026-04-22,99,0,0,1.7029898824461043e-08,,
SNAG,121,0,0.2788334241143061,2026-02-05,121,0,0,3.2950247479845984e-05,,
SNDQ,49,0,0.4374999915334311,2026-06-25,49,0,0,0.0,,
SNDU,72,0,0.4905660167834348,2026-06-23,72,2,0,0.3464730307697148,,
SNOU,293,1,0.7351054601220772,2026-05-28,293,3,0,0.3237717239556117,,scale_bad=3;jumps=1@2026-05-28
SNXX,110,1,6.855519576023636,2026-02-02,110,4,1,0.8333333333333334,,phantom=1;scale_bad=4;jumps=1@2026-02-02
SOFA,93,0,0.30738403794783253,2026-04-29,93,0,0,0.003647041188126865,,
SOFX,365,0,0.4038462641408973,2025-04-09,365,0,0,5.2589616495790636e-05,,
SOLT,141,0,0.30930934806024857,2026-02-05,141,0,0,0.001026498099576889,,
SOLX,103,0,0.32020026153063863,2026-02-05,1,0,0,,,short_overlap
SOUX,254,1,0.511965882260019,2025-08-08,254,0,0,0.18331961975038125,,jumps=1@2025-08-08
SOXL,4097,1,0.54787896700471,2025-04-09,4097,0,0,0.04616677725886187,,jumps=1@2025-04-09
SPOG,146,0,0.3017456521210058,2026-02-10,146,0,0,0.004660586541636258,,
SPXL,4434,0,0.33871924008150045,2020-03-16,4434,0,0,0.001941220220925688,,
SRPU,159,2,0.6923424857475491,2026-03-25,3,0,0,0.0,,jumps=2@2026-03-25
STXL,45,0,0.2528837690482699,2026-06-26,45,0,0,5.2061622457522105e-08,,
