date,nav,cash,long_notional,short_notional,gross_notional,net_notional,leverage,net_leverage,n_positions,n_active_pairs,cum_costs,cum_borrow,cum_margin_debit,cum_margin_credit
2025-10-07,35815318.1603494,-11236919.07273784,83895818.04579636,36843580.81270912,120739398.85850549,47052237.23308724,3.3711664466567344,1.3137461748190769,78,39,125573.00272707328,82455.39892465564,139501.47413473864,871.35
2025-10-08,37730031.77264704,-11239058.156989893,87292158.32687624,38323068.3972393,125615226.72411554,48969089.92963694,3.329316749083212,1.2978809619009606,78,39,125573.00272707328,83215.77726587071,140880.18004557857,871.35
2025-10-09,38446390.958212495,-11241192.252781395,87746118.64290944,38058535.43191553,125804654.07482496,49687583.21099391,3.2722097169422857,1.2923861504971819,78,39,125573.00272707328,83970.90693713888,142259.1461658131,871.35
2025-10-10,34508757.46091057,-11243265.402557617,80726139.10029157,34974116.23682331,115700255.33711487,45752022.86346825,3.35277952178293,1.3258090476104034,78,39,125573.00272707328,84664.83781485363,143638.36506432042,871.35
2025-10-13,37330972.180085234,-11245390.836444965,86172537.13019732,37596174.11366711,123768711.24386442,48576363.01653021,3.3154430226676683,1.3012348776291445,78,39,125573.00272707328,85410.79365044227,145017.84311608004,871.35
2025-10-14,36931590.38737328,-11247515.64664476,85730788.80380276,37551682.76978469,123282471.57358745,48179106.03401807,3.338130589029198,1.3045499944267294,78,39,125573.00272707328,86155.86672127133,146397.580245046,871.35
2025-10-15,37066067.35744378,-11249663.498976324,87015537.97649759,38699807.12007745,125715345.09657505,48315730.85642014,3.3916558744753997,1.3035030231421934,78,39,125573.00272707328,86923.72003714589,147777.57926073566,871.35
2025-10-16,35641456.48160862,-11251789.210679853,84464102.12825966,37570856.435971186,122034958.56423084,46893245.69228847,3.4239610445550173,1.3156938666770226,78,39,125573.00272707328,87669.1735378596,149157.8374635516,871.35
2025-10-17,34632626.104970306,-11253880.863576295,81727945.79596935,35841438.82742272,117569384.62339208,45886506.96854663,3.3947580026719106,1.3249502601814311,78,39,125573.00272707328,88380.31319713387,150538.35070071797,871.35
2025-10-20,34063495.80066946,-11255972.591380393,81151828.37386,35832359.981810145,116984188.35567015,45319468.39204986,3.4342977902277143,1.330440911210269,78,39,125573.00272707328,89091.27272058249,151919.1189813682,871.35
