symbol,underlying,realized_pnl,fifo_realized,commissions,n_trades,unrealized_pnl,position,markPrice,positionValue,subCategory,cash_pnl,dividends,borrow_fees,taxes,corp_actions,n_cash_rows,net_pnl
IREG,IREN,0.0,0.0,0.0,0.0,-643.291034,-77.0,37.1466,-2860.29,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-643.291034
IREN,IREN,0.0,0.0,0.0,0.0,755.805915,95.0,59.84,5684.8,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,755.805915
ISRG,ISRG,0.0,0.0,0.0,0.0,-160.950257,11.0,507.55,5583.05,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-160.950257
ISUL,ISRG,0.0,0.0,0.0,0.0,155.223773,-86.0,29.8933,-2570.82,ETF,0.0,0.0,0.0,0.0,0.0,0.0,155.223773
JEPI,SPY,0.0,0.0,0.0,0.0,-30.055862,-71.0,58.55,-4157.05,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-30.055862
JEPQ,QQQ,0.0,0.0,0.0,0.0,-66.544817,-70.0,59.86,-4190.2,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-66.544817
KLAC,KLAC,0.0,0.0,0.0,0.0,727.009743,4.0,1684.71,6738.84,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,727.009743
KLAG,KLAC,0.0,0.0,0.0,0.0,-809.025229,-117.0,29.9101,-3499.48,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-809.025229
LABX,ALAB,0.0,0.0,0.0,0.0,353.645893,-188.0,13.605,-2557.74,ETF,0.0,0.0,0.0,0.0,0.0,0.0,353.645893
LLY,LLY,0.0,0.0,0.0,0.0,-252.894881,5.0,1024.14,5120.7,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-252.894881
LMT,LMT,0.0,0.0,0.0,0.0,457.862829,9.0,622.51,5602.59,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,457.862829
LMTL,LMT,0.0,0.0,0.0,0.0,-510.765337,-63.0,48.8,-3074.4,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-510.765337
