symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed
FGRU,-1264.7454482600676,-1934.54,-669.7945517399323,669.7945517399323,1264.7454482600676,1934.54,669.7945517399323,False
TQQY,0.0,-668.865,-668.865,668.865,0.0,668.865,668.865,False
LUNL,-6581.592099623635,-7225.41,-643.8179003763653,643.8179003763653,6581.592099623635,7225.41,643.8179003763653,False
TEMT,-1720.3862015605616,-1089.92,630.4662015605616,630.4662015605616,1720.3862015605616,1089.92,-630.4662015605616,True
ETHT,-1250.7539009815962,-1846.2800000000002,-595.526099018404,595.526099018404,1250.7539009815962,1846.2800000000002,595.526099018404,False
VSTL,-374.66876689965466,-968.385,-593.7162331003453,593.7162331003453,374.66876689965466,968.385,593.7162331003453,False
UNHG,-53.8437993734551,-639.4674,-585.6236006265449,585.6236006265449,53.8437993734551,639.4674,585.6236006265449,False
QPUX,-1300.3737265689715,-1879.9284,-579.5546734310285,579.5546734310285,1300.3737265689715,1879.9284,579.5546734310285,False
GDXU,-1218.1849102377714,-659.8199999999999,558.3649102377715,558.3649102377715,1218.1849102377714,659.8199999999999,-558.3649102377715,True
JNUG,-1268.4018483805842,-713.9,554.5018483805842,554.5018483805842,1268.4018483805842,713.9,-554.5018483805842,True
COYY,-93667.87315875158,-93126.45,541.4231587515824,541.4231587515824,93667.87315875158,93126.45,-541.4231587515824,True
URTY,-146.76513287844162,-686.72,-539.9548671215584,539.9548671215584,146.76513287844162,686.72,539.9548671215584,False
QSU,-1820.065625230963,-1296.75,523.315625230963,523.315625230963,1820.065625230963,1296.75,-523.315625230963,True
MVLL,-1653.806453104129,-1131.96,521.8464531041291,521.8464531041291,1653.806453104129,1131.96,-521.8464531041291,True
GEVX,-526.5240951774555,-1047.93,-521.4059048225446,521.4059048225446,526.5240951774555,1047.93,521.4059048225446,False
GLWG,-1666.0894412200507,-1150.56,515.5294412200508,515.5294412200508,1666.0894412200507,1150.56,-515.5294412200508,True
MPL,-797.6401479810246,-282.6,515.0401479810246,515.0401479810246,797.6401479810246,282.6,-515.0401479810246,True
QBTX,-5984.29711992137,-5476.48,507.81711992137025,507.81711992137025,5984.29711992137,5476.48,-507.81711992137025,True
PYPG,-12.630143168550712,-505.7568,-493.1266568314493,493.1266568314493,12.630143168550712,505.7568,493.1266568314493,False
ADBG,-89.87094802741267,-582.65,-492.7790519725873,492.7790519725873,89.87094802741267,582.65,492.7790519725873,False
UNX,-1472.955062980285,-1962.0149999999999,-489.0599370197149,489.0599370197149,1472.955062980285,1962.0149999999999,489.0599370197149,False
RDTL,-2060.288718604667,-1574.6499999999999,485.638718604667,485.638718604667,2060.288718604667,1574.6499999999999,-485.638718604667,True
PAAU,-1676.7890069306056,-1191.6405,485.14850693060566,485.14850693060566,1676.7890069306056,1191.6405,-485.14850693060566,True
UBRL,-465.5404451370519,0.0,465.5404451370519,465.5404451370519,465.5404451370519,0.0,-465.5404451370519,True
KTUP,-1211.5726306627016,-751.01,460.5626306627016,460.5626306627016,1211.5726306627016,751.01,-460.5626306627016,True
BIDG,-56.72623893166849,-503.0836,-446.3573610683315,446.3573610683315,56.72623893166849,503.0836,446.3573610683315,False
PANG,-193.9387946006631,-640.0799999999999,-446.14120539933685,446.14120539933685,193.9387946006631,640.0799999999999,446.14120539933685,False
PONX,-1245.274826463556,-1680.51,-435.2351735364439,435.2351735364439,1245.274826463556,1680.51,435.2351735364439,False
SOUX,-1139.2586107574955,-705.8752000000001,433.3834107574954,433.3834107574954,1139.2586107574955,705.8752000000001,-433.3834107574954,True
ORCU,-523.5688130049228,-954.32,-430.7511869950772,430.7511869950772,523.5688130049228,954.32,430.7511869950772,False
COPZ,-1325.4992561772765,-909.522,415.97725617727644,415.97725617727644,1325.4992561772765,909.522,-415.97725617727644,True
CIFU,-2824.0880900694624,-2408.4,415.6880900694623,415.6880900694623,2824.0880900694624,2408.4,-415.6880900694623,True
PALU,-142.27833574475807,-554.4,-412.1216642552419,412.1216642552419,142.27833574475807,554.4,412.1216642552419,False
UXRP,-1914.4721810141089,-1503.68,410.7921810141088,410.7921810141088,1914.4721810141089,1503.68,-410.7921810141088,True
TSMU,-218.7880309695756,-627.76,-408.97196903042436,408.97196903042436,218.7880309695756,627.76,408.97196903042436,False
SOXS,0.0,-405.9,-405.9,405.9,0.0,405.9,405.9,False
SPXL,-135.07142717261024,-540.12,-405.04857282738976,405.04857282738976,135.07142717261024,540.12,405.04857282738976,False
AMZZ,-107.66467323035988,-502.86170000000004,-395.19702676964016,395.19702676964016,107.66467323035988,502.86170000000004,395.19702676964016,False
LACG,-1495.828353267729,-1111.957,383.87135326772886,383.87135326772886,1495.828353267729,1111.957,-383.87135326772886,True
GUSH,-182.95622656216327,-561.24,-378.28377343783677,378.28377343783677,182.95622656216327,561.24,378.28377343783677,False
SMCL,-2262.6121828957303,-2635.68,-373.0678171042696,373.0678171042696,2262.6121828957303,2635.68,373.0678171042696,False
RCAX,-10375.523038469992,-10006.25,369.27303846999166,369.27303846999166,10375.523038469992,10006.25,-369.27303846999166,True
GEVG,-322.4419958356041,-684.508,-362.06600416439596,362.06600416439596,322.4419958356041,684.508,362.06600416439596,False
CWEB,-310.78373082234583,-660.0,-349.21626917765417,349.21626917765417,310.78373082234583,660.0,349.21626917765417,False
CMGG,-106.3618985915164,-451.65900000000005,-345.2971014084836,345.2971014084836,106.3618985915164,451.65900000000005,345.2971014084836,False
AFRU,-827.7147775878454,-1172.94,-345.2252224121546,345.2252224121546,827.7147775878454,1172.94,345.2252224121546,False
TSLL,-360.74221849148114,-700.44,-339.6977815085189,339.6977815085189,360.74221849148114,700.44,339.6977815085189,False
TSMG,-305.3424425915988,-643.63,-338.2875574084012,338.2875574084012,305.3424425915988,643.63,338.2875574084012,False
BOEU,-131.5951572852341,-462.4204,-330.82524271476586,330.82524271476586,131.5951572852341,462.4204,330.82524271476586,False
MSTP,-43.22925078466692,-372.394,-329.1647492153331,329.1647492153331,43.22925078466692,372.394,329.1647492153331,False
BOEG,-115.20005616268112,-435.82899999999995,-320.62894383731884,320.62894383731884,115.20005616268112,435.82899999999995,320.62894383731884,False
