underlying,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
DNN,0.0,51.901721,0.0,0.0,0.0,-17.04,2.5586307174811367,0.0,0.0,37.42035171748114
NOW,0.0,51.66498999999999,0.0,0.0,0.0,-16.97,1.360961315341366,0.0,0.0,36.055951315341304
RKLB,0.0,39.13743499999998,0.0,0.0,0.0,-9.33,6.2042330648837805,0.0,0.0,36.01166806488368
XOM,243.60277527000005,0.0,38.11,0.0,-178.78,-69.99,0.0,0.0,0.0,32.942775270000084
TTD,-0.5780269999999996,42.680994,0.0,0.0,0.0,-12.05,2.181640916435673,0.0,0.0,32.234607916435664
FIG,0.0,39.74903200000017,0.0,0.0,0.0,-13.57,4.53526779983876,0.0,0.0,30.714299799838955
COST,109.99453740999999,0.0,7.8,0.0,0.0,-89.69,0.0,0.0,0.0,28.104537409999992
ONDS,0.0,113.042,0.0,0.0,0.0,-97.64,12.541006490997475,0.0,0.0,27.943006490997448
SOFI,-33.372794,108.56125400000019,0.0,0.0,-13.16,-44.949999999999996,10.464065426541625,0.0,0.0,27.542525426541943
AFRM,175.10152653,-124.49274400000002,0.0,0.0,0.0,-28.509999999999998,4.7775486105127225,0.0,0.0,26.87633114051266
AVAV,0.0,29.223484000000013,0.0,0.0,0.0,-5.1,2.6132176528107918,0.0,0.0,26.736701652810808
NET,0.0,28.082883,0.0,0.0,0.0,-5.96,0.7055859589944506,0.0,0.0,22.828468958994446
QS,0.0,28.89875500000001,0.0,0.0,0.0,-10.96,4.02802348990181,0.0,0.0,21.966778489901813
NVO,0.0,17.156297000000052,0.0,0.0,0.0,-4.67,6.323019237684176,0.0,0.0,18.809316237684186
ZETA,0.0,37.49665,0.0,0.0,0.0,-22.53,2.5523397392505895,0.0,0.0,17.51898973925059
CELH,41.48727030000009,0.0,0.0,0.0,0.0,-24.38,0.0,0.0,0.0,17.107270300000092
NIO,0.0,22.502269,0.0,0.0,0.0,-9.49,2.764318353540768,0.0,0.0,15.776587353540762
SMCI,0.0,57.714307000000076,0.0,0.0,0.0,-48.94,3.8192685135248006,0.0,0.0,12.593575513524797
PANW,3.337395,153.44669599999997,0.0,0.0,-19.03,-150.23000000000002,25.04082856550429,0.0,0.0,12.564919565504283
BULL,-1.027749750000007,41.145365,0.0,0.0,0.0,-30.95,3.1011396724682028,0.0,0.0,12.268754922468219
SOUN,0.0,16.804786999999997,0.0,0.0,0.0,-8.3,2.706918061486893,0.0,0.0,11.211705061486896
EWW,0.0,17.126526999999996,0.0,0.0,-0.71,-7.47,1.8121143255891814,0.0,0.0,10.758641325589181
JOBY,0.0,17.928705,0.0,0.0,0.0,-9.31,1.280663425504257,0.0,0.0,9.899368425504257
FCX,0.0,15.241583999999996,0.0,0.0,0.0,-7.62,2.078035147626381,0.0,0.0,9.699619147626379
ADBE,0.0,21.137789999999995,0.0,0.0,0.0,-14.370000000000001,1.9106990341337198,0.0,0.0,8.678489034133719
IWM,0.0,7.539590000000004,0.0,0.0,0.0,-0.92,0.8372080718490986,0.0,0.0,7.4567980718491
HL,17.057037750000006,0.0,0.0,0.0,0.0,-10.15,0.0,0.0,0.0,6.907037750000001
SBET,-4.11732649,36.488321999999926,0.0,0.0,0.0,-33.9,8.392926910329477,0.0,0.0,6.863922420329459
WDC,0.0,26.463351999999986,1.0,0.0,0.0,-27.490000000000002,4.799586571519112,0.0,0.0,4.772938571519035
SHOP,0.0,27.180462000000006,0.0,0.0,-5.16,-19.99,2.124318773179693,0.0,0.0,4.154780773179681
VST,0.0,3.8502490000000007,0.0,0.0,0.0,-1.1099999999999999,0.8335546155475075,0.0,0.0,3.573803615547508
LAC,0.0,75.31798800000001,0.0,0.0,0.0,-81.9,10.122066749753646,0.0,0.0,3.540054749753608
GME,0.0,8.408132000000002,0.0,0.0,0.0,-8.72,0.9267861314362386,0.0,0.0,0.6149181314362409
LCID,0.0,4.972178999999983,0.0,0.0,0.0,-5.01,0.5637458908150319,0.0,0.0,0.5259248908150198
B,0.0,-0.9508569999999992,0.0,0.0,0.0,-1.03,0.9557793354552823,0.0,0.0,-1.0250776645447175
GLW,3.445009620000004,0.0,0.0,0.0,0.0,-4.84,0.0,0.0,0.0,-1.3949903799999959
ETOR,0.0,20.715420999999992,0.0,0.0,0.0,-26.03,3.6376702444163027,0.0,0.0,-1.6769087555836961
ARM,177.34866151999998,-10.256007999999952,0.0,0.0,-140.34,-32.050000000000004,3.527617199780673,0.0,0.0,-1.7697292802192806
ANET,0.0,-2.5909419999999983,0.0,0.0,0.0,-2.46,2.883690642325375,0.0,0.0,-2.1672513576746297
COHR,0.0,6.3589489999999955,0.0,0.0,0.0,-9.78,1.0196073661360208,0.0,0.0,-2.401443633863977
DJT,0.0,5.481920000000002,0.0,0.0,0.0,-8.83,0.7286789287724221,0.0,0.0,-2.6194010712275713
ORLY,5.603025000000002,0.0,0.0,0.0,0.0,-8.74,0.0,0.0,0.0,-3.1369749999999925
KTOS,0.0,22.804666999999995,0.0,0.0,0.0,-29.31,1.3567217430555625,0.0,0.0,-5.148611256944378
FUTU,-13.224047250000002,0.0,13.0,0.0,0.0,-5.57,0.0,-0.25,0.0,-6.0440472500000055
ARKK,0.0,-0.45817299999998795,0.0,0.0,0.0,-8.26,2.644887453157739,0.0,0.0,-6.073285546842243
MP,217.41717794,-200.066558,0.0,0.0,0.0,-28.21,3.823859755401132,0.0,0.0,-7.035520304598776
VALE,5.617185699999993,0.0,0.0,0.0,0.0,-13.52,0.0,0.0,0.0,-7.902814299999989
HUT,0.0,61.2899239999997,0.0,0.0,0.0,-82.46,13.000814480612163,0.0,0.0,-8.169261519388328
LMND,0.0,-6.856115000000003,0.0,0.0,0.0,-2.56,0.5662661895471454,0.0,0.0,-8.849848810452855
APH,0.0,7.256489999999985,4.0,0.0,0.0,-23.3,2.6638776110462232,0.0,0.0,-9.379632388953809
IBM,-11.156726250000002,0.0,0.0,0.0,0.0,-1.09,0.0,0.0,0.0,-12.246726250000005
ETHA,1811.5574393,-1731.4470760000004,-0.81,0.0,-14.36,-109.18,31.749668418396062,0.0,0.0,-12.489968281604433
LMT,20.5694393,0.0,0.0,0.0,-3.09,-30.45,0.0,0.0,0.0,-12.970560700000078
AAL,0.0,13.568466,0.0,0.0,0.0,-29.91,2.283898618481276,0.0,0.0,-14.057635381518708
SBUX,1.612426750000001,0.0,0.0,0.0,0.0,-17.45,0.0,0.0,0.0,-15.837573250000002
NEM,-46.331164,36.646676000000014,0.0,0.0,0.0,-9.12,1.7863838338822537,0.0,0.0,-17.01810416611775
FLY,0.0,43.328884000000016,0.0,0.0,0.0,-70.97,8.944520663071836,0.0,0.0,-18.696595336928112
XLF,-18.775827,0.0,0.0,0.0,0.0,-0.36,0.0,0.0,0.0,-19.135827
ASHR,16.22513067,0.0,-0.85,0.0,-16.99,-18.54,0.0,0.0,0.0,-20.154869329999997
EWY,3.552713678800501e-15,-15.665464000000043,0.0,0.0,-0.23,-8.13,2.2966368725381603,0.0,0.0,-21.728827127461898
BIDU,6.817273749999991,0.0,0.0,0.0,0.0,-28.76,0.0,0.0,0.0,-21.942726250000007
RTX,-5.8440272500000106,0.0,0.0,0.0,0.0,-19.05,0.0,0.0,0.0,-24.894027250000022
UPS,-14.262226249999998,0.0,0.0,0.0,0.0,-12.78,0.0,0.0,0.0,-27.04222625
PONY,0.0,33.53077800000001,0.0,0.0,0.0,-69.9,6.765536805764594,0.0,0.0,-29.603685194235396
XOP,0.0,-36.210008000000016,19.14,0.0,6.509999999999998,-33.08,12.33738979808206,0.0,0.0,-31.302618201917767
ORCL,0.0,-13.195757999999984,7.5,0.0,-6.92,-26.22,5.953688018832422,0.0,0.0,-32.882069981167575
GOOGL,455.33948351000004,-282.67903600000045,11.34,0.0,-145.61,-107.56,26.70457739828982,0.0,0.0,-42.464975091709675
BKNG,-42.80836925,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,0.0,-43.44836925
COPX,0.0,-19.919006999999965,0.0,0.0,0.0,-32.19,6.9791956192095155,0.0,0.0,-45.12981138079044
ALB,-45.05769,0.0,5.67,0.0,0.0,-5.8100000000000005,0.0,0.0,0.0,-45.19769
CHNL,-46.44045225,0.0,2.31,0.0,-0.23,-4.97,0.0,0.0,0.0,-49.33045225
UNH,-7.74490355,-62.15266799999995,64.09,0.0,0.0,-66.3,13.729337111788794,0.0,0.0,-58.378234438211166
DELL,0.0,-38.49217999999996,0.0,0.0,0.0,-24.64,4.46090921864167,0.0,0.0,-58.67127078135832
MRVL,140.06238721999944,7.249765,8.76,0.0,-9.19,-211.91,3.503449684031646,0.0,0.0,-61.524398095969445
ACHR,0.0,-45.732686,0.0,0.0,0.0,-22.8,6.020895985022119,0.0,0.0,-62.51179001497792
SNAP,25.944149769999996,-83.177516,0.0,0.0,0.0,-8.61,3.00466498146683,0.0,0.0,-62.8387012485332
PBR,-46.04692987999999,0.0,0.0,0.0,0.0,-22.55,0.0,0.0,0.0,-68.59692988
AI,117.26935872000001,27.100287,0.0,0.0,-191.9,-23.21,1.9964087282250573,0.0,0.0,-68.74394555177491
RDDT,806.4011985000001,-738.9953029999999,0.0,0.0,-105.7,-37.91,6.7926935130331065,0.0,0.0,-69.41141098696676
BABA,573.60430891,-468.4628469999998,0.0,0.0,-151.56,-31.7,7.385471682266129,0.0,0.0,-70.73306640773399
LUNR,-44.232270360000015,0.0,0.0,0.0,0.0,-30.24,0.0,0.0,0.0,-74.47227036000002
NOK,0.0,-34.908920999999964,0.0,0.0,0.0,-47.16,4.752814515978956,0.0,0.0,-77.31610648402102
XYZ,674.11389486,-598.872489,0.0,0.0,-145.49,-13.870000000000001,6.441785873285097,0.0,0.0,-77.67680826671506
SPY,4.239159799999991,3.7633269999999968,-0.34,0.0,-64.38,-27.490000000000002,1.4440139503042737,0.0,0.0,-82.76349924969576
