ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short
ASTX,ASTS,1.99003,187,ols,0.080862,100000,0.080862,False,False,43.72999954223633,0.080862,1.0,False,,True,False,False,False,False,False,False,False,2.068822,1.202879,1.286207,1.62967,1.312964,1.122017,1.232102,0.4975075,0.597009,0.5,0.597009
BEX,BE,1.975821,99,ols,0.110363,60000,0.110363,False,False,22.850000381469727,0.110363,1.0,False,,True,False,False,False,False,False,False,False,2.127944,1.179639,0.998115,0.960393,1.046525,1.0692760000000001,0.9361619999999999,0.49395525,0.5927463,0.5,0.5927463
CEGX,CEG,1.988365,187,ols,0.096462,20000,0.096462,False,False,15.779999732971191,0.096462,1.0,False,,True,False,False,False,False,False,False,False,0.936264,0.324889,0.58454,0.335747,0.32769,0.228427,0.231228,0.49709125,0.5965094999999999,0.5,0.5965094999999999
CLSX,CLSK,1.998611,141,ols,0.14892,100000,0.14892,False,False,11.920000076293945,0.14892,1.0,False,,True,False,False,False,False,False,False,False,2.032841,1.239932,0.953742,0.907729,1.093604,1.091012,0.9446840000000001,0.49965275,0.5995832999999999,0.5,0.5995832999999999
COZX,CORZ,2.036838,105,ols,0.043053,2000,0.043053,False,False,12.338000297546387,0.043053,1.0,False,,True,False,False,False,False,False,False,False,1.448678,0.719355,0.861821,0.784281,0.757228,0.676302,0.714175,0.5092095,0.6110513999999999,0.5092095,0.6110513999999999
CRDU,CRDO,1.990462,141,ols,0.09496,100000,0.09496,False,False,19.709999084472656,0.09496,1.0,False,,True,False,False,False,False,False,False,False,1.717082,0.975825,0.909419,0.815248,0.905095,0.880865,0.8101349999999999,0.4976155,0.5971386,0.5,0.5971386
CSEX,CLS,1.995424,99,ols,0.055795000000000004,75000,0.055795000000000004,False,False,17.989999771118164,0.055795000000000004,1.0,False,,True,False,False,False,False,False,False,False,1.526772,0.635173,0.711426,0.502658,0.554717,0.579378,0.49892200000000003,0.498856,0.5986272,0.5,0.5986272
CWVX,CRWV,1.989337,187,ols,0.184101,60000,0.184101,False,False,26.81999969482422,0.184101,1.0,False,,True,False,False,False,False,False,False,False,1.931852,0.937747,1.183206,1.377664,1.051218,0.753646,0.867117,0.49733425,0.5968011,0.5,0.5968011
DOGD,DDOG,2.013083,165,ols,0.034732,7000,0.034732,False,False,13.585000038146973,0.034732,1.0,False,,True,False,False,False,False,False,False,False,1.183566,0.410923,0.485082,0.239942,0.351894,0.376191,0.317162,0.50327075,0.6039249,0.50327075,0.6039249
ENPX,ENPH,2.018296,141,ols,0.202192,60000,0.202192,False,False,11.140000343322754,0.202192,1.0,False,,True,False,False,False,False,False,False,False,1.639144,0.737146,0.727649,0.544093,0.652111,0.5349539999999999,0.44991899999999996,0.504574,0.6054887999999999,0.504574,0.6054887999999999
FLYT,FLY,1.991789,114,ols,0.19222,7000,0.19222,False,False,26.100000381469727,0.19222,1.0,False,,True,False,False,False,False,False,False,False,2.352004,1.456714,1.09968,1.194443,1.313089,1.264494,1.120869,0.49794725,0.5975367,0.5,0.5975367
GEVX,GEV,1.997479,187,ols,0.046287,25000,0.046287,False,False,63.65999984741211,0.046287,1.0,False,,True,False,False,False,False,False,False,False,1.007239,0.318006,0.526463,0.276116,0.307201,0.271719,0.260914,0.49936975,0.5992436999999999,0.5,0.5992436999999999
IREX,IREN,1.981843,114,ols,0.306923,70000,0.306923,False,False,20.280000686645508,0.306923,1.0,False,,True,False,False,False,False,False,False,False,2.143627,1.365984,1.051729,1.07619,1.207287,1.059061,0.9003639999999999,0.49546075,0.5945528999999999,0.5,0.5945528999999999
JOBX,JOBY,1.978841,146,ols,0.21549800000000002,25000,0.21549800000000002,False,False,18.420000076293945,0.21549800000000002,1.0,False,,True,False,False,False,False,False,False,False,1.432001,0.706844,0.813464,0.64087,0.679093,0.491346,0.4635949999999999,0.49471025,0.5936523,0.5,0.5936523
LABX,ALAB,1.9959,165,ols,0.040004,70000,0.040004,False,False,20.600000381469727,0.040004,1.0,False,,True,False,False,False,False,False,False,False,1.776919,0.969829,0.908866,0.820964,0.918435,0.929825,0.878431,0.498975,0.59877,0.5,0.59877
