symbol,underlying,bucket,leg_class,total_pnl
USAR,USAR,bucket_1,spot,3346.558055
UUUU,UUUU,bucket_1,spot,-330.35012
VALE,VALE,bucket_1,spot,365.296147
VRT,VRT,bucket_1,spot,4484.952883000001
WDC,WDC,bucket_1,spot,979.249386
WULF,WULF,bucket_1,spot,2706.325635
XBI,XBI,bucket_1,spot,266.46541148999995
XLE,XLE,bucket_1,spot,332.989146
XLF,XLF,bucket_1,spot,-19.135827
XLK,XLK,bucket_1,spot,-138.632917
XOM,XOM,bucket_1,spot,516.80997834
XOP,XOP,bucket_1,spot,692.485572
XPEV,XPEV,bucket_1,spot,93.35382200000002
XYZ,XYZ,bucket_1,spot,-779.4716905800001
ZETA,ZETA,bucket_1,spot,-104.325334
AI,AI,bucket_2,spot,-766.576655
COIN,COIN,bucket_2,spot,-1594.9072987700902
CVNA,CVNA,bucket_2,spot,-1037.360983
DKNG,DKNG,bucket_2,spot,-452.3220331878132
HIMS,HIMS,bucket_2,spot,222.56253257404126
IBIT,IBIT,bucket_2,spot,-1252.1549686645794
MARA,MARA,bucket_2,spot,1375.432891
META,META,bucket_2,spot,453.86451608148
MSTR,MSTR,bucket_2,spot,3134.625235418625
PLTR,PLTR,bucket_2,spot,-670.9146676661838
SPY,SPY,bucket_2,spot,2.11239558
BKNU,BKNG,bucket_4,spot,-42.80836925
DIA,DIA,bucket_4,spot,-0.525
XLK,XLK,bucket_4,spot,-0.51
