run_date,underlying,ratio_source,prev_qty_b1,prev_qty_b2,prev_qty_b4,curr_qty_b1,curr_qty_b2,curr_qty_b4,ibkr_qty,orphan_qty,ratio_current_b1,ratio_current_b2,ratio_current_b4,ratio_realized_b1,ratio_realized_b2,ratio_realized_b4,ratio_unrealized_b1,ratio_unrealized_b2,ratio_unrealized_b4,ratio_carry_b1,ratio_carry_b2,ratio_carry_b4,plan_b4_frac,plan_b4_usd,plan_b4_qty,exposure_b4_qty_source,ledger_b2_frac,pnl_split_mode,plan_b2_usd,ratio_spot_b1,ratio_spot_b2,ratio_spot_b4,ratio_spot_source
2026-05-16,APLD,held_exposure,1198.5428277124051,18881.605041274008,919.85213101359,1198.5428277124051,18881.605041274008,919.85213101359,21000.0,-3.637978807091713e-12,0.6000136083675045,0.29306626424970367,0.10692012738279183,0.6000136083675045,0.29306626424970367,0.10692012738279183,0.057073467986305,0.8991240495844764,0.04380248242921856,0.057073467986305,0.8991240495844764,0.04380248242921856,0.0,0.0,0.0,ledger,0.8991240495844764,lot_timed,0.0,0.057073467986305,0.8991240495844763,0.04380248242921856,ledger
2026-05-16,APLX,held_exposure_eod,30000.0,0.0,0.0,30000.0,0.0,0.0,30000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,1.0,0.0,0.0,ledger
2026-05-16,APLY,held_exposure_eod,0.0,40.0,0.0,0.0,40.0,0.0,0.0,-40.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,1.0,lot_timed,0.0,0.0,0.0,0.0,ledger
2026-05-16,APLZ,held_exposure_eod,-36000.0,0.0,0.0,-36000.0,0.0,0.0,-37000.0,-1000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,1.0,0.0,0.0,ledger
2026-05-16,APP,held_exposure,1.876431914029938,9.123568085970062,0.0,1.876431914029938,9.123568085970062,0.0,12.0,1.0,0.49675870951396456,0.5032412904860355,0.0,0.5000000000000001,0.49999999999999994,0.0,0.17058471945726708,0.829415280542733,0.0,0.17058471945726708,0.829415280542733,0.0,0.0,0.0,0.0,none,0.829415280542733,lot_timed,0.0,0.17058471945726708,0.829415280542733,0.0,ledger
2026-05-16,APPX,held_exposure_eod,-210.0,0.0,0.0,-210.0,0.0,0.0,-73.0,137.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,1.0,0.0,0.0,ledger
2026-05-16,ARCX,held_exposure_eod,-176.0,0.0,0.0,-176.0,0.0,0.0,-133.0,43.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,1.0,0.0,0.0,ledger
2026-05-16,AREB,held_exposure_eod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,0.0,0.0,0.0,ledger
2026-05-16,ARKK,held_exposure,0.0,13.0,0.0,0.0,13.0,0.0,13.0,0.0,0.565983655999853,0.43401634400014705,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,1.0,lot_timed,0.0,0.0,1.0,0.0,ledger
2026-05-16,ARM,held_exposure,0.0,11.0,0.0,0.0,11.0,0.0,11.0,0.0,0.5204051543454564,0.4795948456545435,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,1.0,lot_timed,0.0,0.0,1.0,0.0,ledger
2026-05-16,ARMG,held_exposure_eod,-103.0,0.0,0.0,-103.0,0.0,0.0,-76.0,27.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,1.0,0.0,0.0,ledger
2026-05-16,ARMW,held_exposure_eod,0.0,19.0,0.0,0.0,19.0,0.0,0.0,-19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,1.0,lot_timed,0.0,0.0,0.0,0.0,ledger
2026-05-16,ASHR,universe_delta_fallback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,0.0,0.0,0.0,ledger
2026-05-16,ASMG,held_exposure_eod,47.0,0.0,0.0,47.0,0.0,0.0,0.0,-47.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,none,0.0,lot_timed,0.0,0.0,0.0,0.0,ledger
2026-05-16,ASML,held_exposure,-0.7462104327649918,-0.2537895672350077,0.0,-0.7462104327649918,-0.2537895672350077,0.0,1.0,1.9999999999999996,0.8651457242027315,0.13485427579726858,0.0,0.1598901594423429,0.8401098405576571,0.0,0.7462104327649922,0.25378956723500784,0.0,0.7462104327649922,0.25378956723500784,0.0,0.0,0.0,0.0,none,0.25378956723500784,lot_timed,0.0,0.7462104327649922,0.25378956723500784,0.0,ledger
